timestamp,task_id,step,drift_score,drift_velocity,vlm_forward_ms,acc_overhead_ms,threshold,intervention_active
1772403663.7396975,unknown,0,0.0095,0.0095,771.52,26.94,0.075,0
1772403663.7921162,unknown,1,0.0085,-0.001,45.31,6.23,0.075,0
1772403663.8310719,unknown,2,0.0076,-0.0009,32.34,6.27,0.075,0
1772403683.1642504,unknown,0,0.0094,0.0094,758.55,41.75,0.075,0
1772403683.2058275,unknown,1,0.0056,-0.0038,34.89,6.32,0.075,0
1772403683.2485642,unknown,2,0.0016,-0.004,35.79,6.37,0.075,0
1772403693.2970684,unknown,0,0.0096,0.0096,110.43,8.99,0.075,0
1772403693.3391402,unknown,1,0.0107,0.001,35.03,6.61,0.075,0
1772403693.3806806,unknown,2,0.0085,-0.0021,34.67,6.43,0.075,0
1772403693.4216802,unknown,3,0.0045,-0.004,34.26,6.37,0.075,0
1772403693.4611356,unknown,4,0.0057,0.0012,32.52,6.55,0.075,0
1772403693.5002115,unknown,5,0.0048,-0.001,32.44,6.3,0.075,0
1772403693.538945,unknown,6,0.0134,0.0086,32.08,6.32,0.075,0
1772403693.5787306,unknown,7,0.0045,-0.0089,33.22,6.24,0.075,0
1772403693.618515,unknown,8,0.0003,-0.0042,33.15,6.3,0.075,0
1772403693.6577563,unknown,9,0.0113,0.011,32.59,6.26,0.075,0
1772403693.698067,unknown,10,0.0003,-0.0111,33.65,6.3,0.075,0
1772403693.738174,unknown,11,0.0082,0.008,32.98,6.73,0.075,0
1772403693.7797785,unknown,12,0.0088,0.0006,34.06,7.08,0.075,0
1772403693.8211067,unknown,13,0.0032,-0.0056,34.51,6.4,0.075,0
1772403693.8649156,unknown,14,0.0127,0.0095,37.07,6.28,0.075,0
1772403693.9078763,unknown,15,0.0047,-0.008,35.72,6.83,0.075,0
1772403693.954966,unknown,16,0.0095,0.0048,39.84,6.36,0.075,0
1772403693.994998,unknown,17,0.0115,0.0021,33.43,6.22,0.075,0
1772403704.4364882,unknown,0,0.0008,0.0008,373.74,23.18,0.075,0
1772403704.4809341,unknown,1,0.0182,0.0175,37.65,6.27,0.075,0
1772403704.5226927,unknown,2,0.0174,-0.0009,34.81,6.54,0.075,0
1772403704.5632198,unknown,3,0.0198,0.0024,33.91,6.22,0.075,0
1772403704.6026793,unknown,4,0.0091,-0.0107,32.91,6.19,0.075,0
1772403704.6416569,unknown,5,0.006,-0.0031,32.31,6.3,0.075,0
1772403704.680818,unknown,6,0.0158,0.0098,32.59,6.27,0.075,0
1772403704.719875,unknown,7,0.0167,0.0009,32.52,6.23,0.075,0
1772403704.7594025,unknown,8,0.0086,-0.0082,32.75,6.39,0.075,0
1772403704.7996686,unknown,9,0.012,0.0034,33.57,6.33,0.075,0
1772403704.8398657,unknown,10,0.0116,-0.0004,33.3,6.51,0.075,0
1772403704.879959,unknown,11,0.0141,0.0025,33.51,6.21,0.075,0
1772403704.9228826,unknown,12,0.0114,-0.0027,36.13,6.43,0.075,0
1772403704.9641664,unknown,13,0.0116,0.0002,33.93,6.89,0.075,0
1772403705.0044687,unknown,14,0.0096,-0.002,33.56,6.31,0.075,0
1772403705.04436,unknown,15,0.0184,0.0088,32.83,6.63,0.075,0
1772403705.0844533,unknown,16,0.0103,-0.0082,33.54,6.19,0.075,0
1772403705.1246247,unknown,17,0.0133,0.003,33.58,6.21,0.075,0
1772403705.1631489,unknown,18,0.0128,-0.0005,31.85,6.32,0.075,0
1772403705.2037797,unknown,19,0.0091,-0.0037,33.97,6.23,0.075,0
1772403705.2454345,unknown,20,0.0069,-0.0022,34.2,7.06,0.075,0
1772403705.2874384,unknown,21,0.0118,0.0049,35.25,6.36,0.075,0
1772403705.3308635,unknown,22,0.0118,-0.0001,36.67,6.32,0.075,0
1772403705.3763523,unknown,23,0.0162,0.0045,38.87,6.25,0.075,0
1772403705.4166255,unknown,24,0.008,-0.0083,32.89,6.97,0.075,0
1772403705.4552245,unknown,25,0.0137,0.0057,31.75,6.29,0.075,0
1772403705.4938855,unknown,26,0.0156,0.0019,32.11,6.29,0.075,0
1772403725.990072,unknown,0,0.0032,0.0032,95.63,8.45,0.075,0
1772403726.0318544,unknown,1,0.0016,-0.0016,35.13,6.24,0.075,0
1772403726.0744934,unknown,2,0.0018,0.0002,35.51,6.75,0.075,0
1772403726.1147583,unknown,3,0.0137,0.0118,33.53,6.15,0.075,0
1772403726.1530817,unknown,4,0.0008,-0.0129,31.74,6.24,0.075,0
1772403726.1907203,unknown,5,0.0117,0.0109,31.05,6.27,0.075,0
1772403726.2281694,unknown,6,0.0089,-0.0028,30.98,6.21,0.075,0
1772403726.2655559,unknown,7,0.0128,0.0039,30.93,6.22,0.075,0
1772403726.3024852,unknown,8,0.0047,-0.008,30.44,6.25,0.075,0
1772403726.3399498,unknown,9,0.009,0.0043,30.82,6.37,0.075,0
