timestamp,task_id,step,drift_score,drift_velocity,vlm_forward_ms,acc_overhead_ms,threshold,intervention_active
1772492466.2262712,322,0,0.0046,0.0046,578.99,24.01,0.075,0
1772492466.2711089,322,1,0.0051,0.0005,38.17,6.2,0.075,0
1772492466.30916,322,2,0.005,-0.0001,31.57,6.2,0.075,0
1772492486.8029318,1556,0,0.0046,0.0046,753.7,41.47,0.075,0
1772492486.8424935,1556,1,0.0051,0.0005,33.01,6.19,0.075,0
1772492486.8808746,1556,2,0.005,-0.0001,31.84,6.24,0.075,0
1772492496.5859957,alf_v_3,0,0.005,0.005,92.13,9.31,0.075,0
1772492496.6252508,alf_v_3,1,0.0047,-0.0003,32.64,6.27,0.075,0
1772492496.6649218,alf_v_3,2,0.0046,-0.0001,33.04,6.31,0.075,0
1772492496.705719,alf_v_3,3,0.0047,0.0001,33.49,6.86,0.075,0
1772492496.7468138,alf_v_3,4,0.0047,-0.0,34.38,6.34,0.075,0
1772492496.7909658,alf_v_3,5,0.0047,-0.0,37.51,6.31,0.075,0
1772492496.8332574,alf_v_3,6,0.0041,-0.0006,34.85,6.28,0.075,0
1772492496.8706427,alf_v_3,7,0.0044,0.0003,30.96,6.15,0.075,0
1772492496.9081101,alf_v_3,8,0.0049,0.0004,31.0,6.19,0.075,0
1772492496.9452178,alf_v_3,9,0.0043,-0.0006,30.69,6.2,0.075,0
1772492496.9820232,alf_v_3,10,0.0046,0.0004,30.27,6.31,0.075,0
1772492497.0192142,alf_v_3,11,0.0039,-0.0008,30.68,6.28,0.075,0
1772492497.0563004,alf_v_3,12,0.004,0.0002,30.6,6.24,0.075,0
1772492497.0935376,alf_v_3,13,0.0048,0.0007,30.76,6.25,0.075,0
1772492497.131031,alf_v_3,14,0.0042,-0.0006,30.95,6.28,0.075,0
1772492497.1680412,alf_v_3,15,0.0047,0.0005,30.52,6.24,0.075,0
1772492497.2043915,alf_v_3,16,0.0049,0.0002,29.84,6.28,0.075,0
1772492497.2407231,alf_v_3,17,0.0049,-0.0,29.98,6.12,0.075,0
