timestamp,task_id,step,drift_score,drift_velocity,vlm_forward_ms,acc_overhead_ms,threshold,intervention_active
1772632546.7792025,655,0,0.0114,0.0114,531.18,19.78,0.0036,0
1772632546.8187206,655,1,0.012,0.0006,17.83,21.02,0.0036,1
1772632564.7115963,115,0,0.0115,0.0115,508.03,159.56,0.0036,0
1772632564.7466874,115,1,0.012,0.0005,13.67,20.85,0.0036,1
1772632579.051478,26,0,0.0113,0.0113,146.54,62.94,0.0036,0
1772632579.0866287,26,1,0.0115,0.0001,13.75,21.03,0.0036,1
1772632623.0648227,760,0,0.0116,0.0116,153.82,65.9,0.0036,0
1772632623.0998576,760,1,0.0116,0.0,13.68,20.99,0.0036,1
1772632633.7307355,282,0,0.0113,0.0113,137.75,51.31,0.0036,0
1772632633.7661574,282,1,0.011,-0.0003,16.67,18.28,0.0036,1
1772632668.6156063,251,0,0.0115,0.0115,63.92,31.17,0.0036,0
1772632668.6514208,251,1,0.011,-0.0005,14.33,20.67,0.0036,1
1772632690.703316,229,0,0.0111,0.0111,2199.11,719.53,0.0036,0
1772632690.7396798,229,1,0.0112,0.0001,13.05,22.83,0.0036,1
1772632700.891973,143,0,0.011,0.011,39.17,26.05,0.0036,0
1772632700.9264057,143,1,0.0111,0.0002,14.07,19.98,0.0036,1
1772632790.9179573,755,0,0.0109,0.0109,618.6,202.45,0.0036,0
1772632790.953279,755,1,0.0106,-0.0003,13.59,21.32,0.0036,1
1772632878.5422678,105,0,0.0108,0.0108,144.92,63.55,0.0036,0
1772632878.5764518,105,1,0.0111,0.0004,12.88,21.01,0.0036,1
1772632946.6465743,693,0,0.0109,0.0109,130.43,50.17,0.0036,0
1772632946.68091,693,1,0.0108,-0.0001,12.68,21.33,0.0036,1
1772632956.3127058,759,0,0.011,0.011,56.41,31.33,0.0036,0
1772632956.3466644,759,1,0.0102,-0.0008,12.49,21.15,0.0036,1
1772632998.271448,914,0,0.0109,0.0109,55.24,30.97,0.0036,0
1772632998.3054936,914,1,0.0102,-0.0007,12.5,21.27,0.0036,1
1772633006.8709304,559,0,0.0107,0.0107,429.06,143.35,0.0036,0
1772633006.9062324,559,1,0.0101,-0.0006,13.48,21.45,0.0036,1
1772633019.4462051,90,0,0.0108,0.0108,55.99,31.01,0.0036,0
1772633019.481194,90,1,0.0106,-0.0002,13.59,21.08,0.0036,1
1772633027.6052094,605,0,0.0107,0.0107,55.37,31.0,0.0036,0
1772633027.6392903,605,1,0.01,-0.0007,12.94,20.85,0.0036,1
1772633035.8104362,433,0,0.0106,0.0106,76.2,34.69,0.0036,0
1772633035.8448389,433,1,0.0098,-0.0008,12.78,21.32,0.0036,1
1772633049.1571312,33,0,0.0106,0.0106,38.95,26.69,0.0036,0
1772633049.1911547,33,1,0.01,-0.0006,12.59,21.07,0.0036,1
