timestamp,task_id,step,drift_score,drift_velocity,vlm_forward_ms,acc_overhead_ms,threshold,intervention_active
1772276022.8003905,0,0,0.0023,0.0023,541.44,13.4,0.075,0
1772276022.8496256,0,1,0.0308,0.0285,42.6,3.33,0.075,0
1772276023.0883589,1,0,0.0797,0.0797,173.3,52.47,0.075,1
1772276023.1219728,1,1,0.0799,0.0002,30.1,3.28,0.075,1
1772276023.3603165,2,0,0.0774,0.0774,173.6,53.8,0.075,1
1772276023.3907073,2,1,0.082,0.0046,26.06,4.02,0.075,1
1772276023.6304388,3,0,0.0812,0.0812,175.47,52.23,0.075,1
1772276023.661068,3,1,0.0801,-0.001,26.93,3.45,0.075,1
1772276023.8976865,4,0,0.0792,0.0792,168.26,52.69,0.075,1
1772276023.925566,4,1,0.0816,0.0024,24.39,3.28,0.075,1
1772276024.1604846,5,0,0.08,0.08,172.29,52.87,0.075,1
1772276024.190092,5,1,0.0807,0.0006,26.11,3.27,0.075,1
1772276024.390941,6,0,0.0789,0.0789,139.75,53.77,0.075,1
1772276024.4218626,6,1,0.0806,0.0017,27.37,3.3,0.075,1
1772276024.6311061,7,0,0.0781,0.0781,139.74,55.69,0.075,1
1772276024.6608932,7,1,0.0814,0.0033,26.23,3.31,0.075,1
1772276024.866082,8,0,0.075,0.075,137.72,53.81,0.075,0
1772276024.894308,8,1,0.1126,0.0376,24.59,3.3,0.075,1
1772276025.0917547,9,0,0.125,0.125,137.16,53.83,0.075,1
1772276025.1208098,9,1,0.1039,-0.0211,25.01,3.85,0.075,1
1772276025.3268223,10,0,0.1281,0.1281,135.71,55.84,0.075,1
1772276025.3570232,10,1,0.1115,-0.0166,26.33,3.43,0.075,1
1772276025.5669205,11,0,0.1249,0.1249,140.84,54.17,0.075,1
1772276025.5960217,11,1,0.1102,-0.0148,25.53,3.35,0.075,1
1772276025.8363552,12,0,0.1256,0.1256,171.26,52.99,0.075,1
1772276025.8646386,12,1,0.1157,-0.0099,24.77,3.3,0.075,1
1772276026.1039016,13,0,0.1256,0.1256,176.18,53.51,0.075,1
1772276026.1412568,13,1,0.0964,-0.0292,33.71,3.37,0.075,1
1772276026.379384,14,0,0.1285,0.1285,173.64,52.95,0.075,1
1772276026.4088252,14,1,0.1139,-0.0146,25.85,3.39,0.075,1
1772276026.4380562,14,2,0.0965,-0.0174,25.64,3.36,0.075,1
1772276026.46702,14,3,0.1106,0.0141,25.49,3.3,0.075,1
1772276026.4952927,14,4,0.11,-0.0006,24.53,3.55,0.075,1
1772276026.5254936,14,5,0.066,-0.044,26.55,3.36,0.075,0
1772276026.5538878,14,6,0.1172,0.0512,24.82,3.27,0.075,1
1772276026.797132,15,0,0.1459,0.1459,173.08,53.82,0.075,1
1772276026.83538,15,1,0.128,-0.0178,34.54,3.4,0.075,1
1772276027.0799608,16,0,0.1464,0.1464,174.1,52.89,0.075,1
1772276027.1095555,16,1,0.1389,-0.0074,26.08,3.28,0.075,1
1772276027.139853,16,2,0.1261,-0.0129,26.72,3.37,0.075,1
1772276027.170465,16,3,0.1347,0.0086,26.58,3.82,0.075,1
1772276027.4119928,17,0,0.1461,0.1461,179.13,52.93,0.075,1
1772276027.441532,17,1,0.1385,-0.0076,25.95,3.36,0.075,1
1772276027.687469,18,0,0.1443,0.1443,173.09,57.19,0.075,1
1772276027.7190378,18,1,0.1381,-0.0061,27.64,3.68,0.075,1
1772276027.9716334,19,0,0.1444,0.1444,180.1,56.58,0.075,1
1772276028.0162518,19,1,0.1331,-0.0113,40.96,3.39,0.075,1
1772276028.0483317,19,2,0.1384,0.0053,28.49,3.34,0.075,1
1772276028.0843973,19,3,0.1208,-0.0176,32.19,3.64,0.075,1
1772276028.1139429,19,4,0.1208,-0.0,25.95,3.35,0.075,1
1772276028.3410423,20,0,0.1444,0.1444,164.43,53.7,0.075,1
1772276028.3709204,20,1,0.1365,-0.0079,25.91,3.76,0.075,1
1772276028.6173713,21,0,0.143,0.143,172.48,56.94,0.075,1
1772276028.6479528,21,1,0.1307,-0.0123,26.93,3.35,0.075,1
1772276028.6786485,21,2,0.1352,0.0045,27.12,3.35,0.075,1
1772276028.7181888,21,3,0.1239,-0.0113,35.88,3.41,0.075,1
1772276028.7603228,21,4,0.1158,-0.0081,38.51,3.38,0.075,1
1772276029.00263,22,0,0.1466,0.1466,168.81,57.71,0.075,1
1772276029.0338767,22,1,0.1379,-0.0087,26.68,4.18,0.075,1
1772276029.2859397,23,0,0.1455,0.1455,176.28,58.4,0.075,1
1772276029.3154106,23,1,0.1352,-0.0103,25.81,3.3,0.075,1
1772276029.34489,23,2,0.1343,-0.0009,25.72,3.52,0.075,1
1772276029.3840306,23,3,0.12,-0.0143,35.48,3.43,0.075,1
1772276029.4135253,23,4,0.1255,0.0056,25.92,3.34,0.075,1
1772276029.59267,24,0,0.1431,0.1431,130.87,41.21,0.075,1
1772276029.626203,24,1,0.1365,-0.0065,29.91,3.35,0.075,1
1772276029.8041344,25,0,0.1433,0.1433,121.84,41.37,0.075,1
1772276029.8341186,25,1,0.1365,-0.0069,26.1,3.65,0.075,1
1772276030.0044186,26,0,0.1387,0.1387,121.77,41.56,0.075,1
1772276030.034706,26,1,0.1364,-0.0022,26.28,3.73,0.075,1
1772276030.2135475,27,0,0.1441,0.1441,123.98,41.13,0.075,1
1772276030.2441216,27,1,0.1291,-0.015,27.0,3.31,0.075,1
1772276030.274046,27,2,0.1373,0.0082,26.29,3.41,0.075,1
1772276030.3047132,27,3,0.1165,-0.0208,26.81,3.63,0.075,1
1772276030.3353703,27,4,0.1162,-0.0003,26.76,3.66,0.075,1
1772276030.5134928,28,0,0.1427,0.1427,123.18,41.56,0.075,1
1772276030.5426636,28,1,0.1353,-0.0075,25.57,3.38,0.075,1
1772276030.7197225,29,0,0.1432,0.1432,122.76,41.35,0.075,1
1772276030.7511086,29,1,0.1358,-0.0074,27.78,3.38,0.075,1
1772276030.992358,30,0,0.1422,0.1422,170.59,55.02,0.075,1
1772276031.0233433,30,1,0.1364,-0.0058,27.01,3.72,0.075,1
1772276031.257192,31,0,0.1423,0.1423,169.36,54.29,0.075,1
1772276031.287791,31,1,0.1233,-0.0191,26.41,3.96,0.075,1
1772276031.3241208,31,2,0.1374,0.0141,32.75,3.35,0.075,1
1772276031.35709,31,3,0.1203,-0.0171,29.27,3.44,0.075,1
1772276031.38767,31,4,0.1213,0.001,26.73,3.57,0.075,1
1772276031.6291745,32,0,0.1452,0.1452,172.0,53.06,0.075,1
1772276031.6593676,32,1,0.134,-0.0112,26.62,3.35,0.075,1
1772276031.8918078,33,0,0.1459,0.1459,170.48,52.97,0.075,1
1772276031.921423,33,1,0.1256,-0.0203,25.7,3.69,0.075,1
1772276031.9610555,33,2,0.1385,0.0129,35.98,3.43,0.075,1
1772276031.9930103,33,3,0.1192,-0.0193,28.3,3.4,0.075,1
1772276032.0241442,33,4,0.1249,0.0057,27.52,3.4,0.075,1
1772276032.2625244,34,0,0.1465,0.1465,167.89,54.63,0.075,1
1772276032.2996795,34,1,0.1297,-0.0168,33.58,3.35,0.075,1
1772276032.5431826,35,0,0.1462,0.1462,172.61,53.82,0.075,1
1772276032.5728946,35,1,0.1354,-0.0108,26.07,3.4,0.075,1
1772276032.8528633,36,0,0.1416,0.1416,195.44,65.89,0.075,1
1772276032.882262,36,1,0.1383,-0.0033,25.77,3.38,0.075,1
1772276033.164075,37,0,0.1454,0.1454,199.74,66.32,0.075,1
1772276033.1929398,37,1,0.1303,-0.0151,25.37,3.28,0.075,1
1772276033.4639258,38,0,0.1444,0.1444,197.06,64.49,0.075,1
1772276033.4920042,38,1,0.1371,-0.0073,24.58,3.3,0.075,1
1772276033.7653,39,0,0.1455,0.1455,199.35,64.49,0.075,1
1772276033.7950144,39,1,0.1384,-0.0071,25.79,3.7,0.075,1
1772276034.0715976,40,0,0.1448,0.1448,195.59,64.46,0.075,1
1772276034.0994742,40,1,0.1376,-0.0072,24.34,3.34,0.075,1
1772276034.376666,41,0,0.1445,0.1445,201.99,65.8,0.075,1
1772276034.4072945,41,1,0.1367,-0.0078,26.84,3.41,0.075,1
1772276034.686795,42,0,0.1411,0.1411,198.59,64.78,0.075,1
1772276034.71774,42,1,0.1256,-0.0155,26.97,3.66,0.075,1
1772276034.7536533,42,2,0.1316,0.0059,31.7,3.98,0.075,1
1772276034.7899554,42,3,0.1097,-0.0219,32.68,3.34,0.075,1
1772276034.8261826,42,4,0.1177,0.0081,32.37,3.61,0.075,1
1772276035.1169617,43,0,0.1386,0.1386,205.29,66.9,0.075,1
1772276035.153254,43,1,0.1269,-0.0117,32.5,3.51,0.075,1
1772276035.1889865,43,2,0.1338,0.0069,32.06,3.43,0.075,1
1772276035.227977,43,3,0.1209,-0.0129,35.41,3.33,0.075,1
1772276035.2656736,43,4,0.1236,0.0027,34.16,3.3,0.075,1
1772276035.5554495,44,0,0.1412,0.1412,204.72,65.94,0.075,1
1772276035.5905838,44,1,0.1349,-0.0064,31.46,3.43,0.075,1
1772276035.8713222,45,0,0.1426,0.1426,199.74,64.44,0.075,1
1772276035.900054,45,1,0.1269,-0.0157,25.28,3.26,0.075,1
1772276035.9282606,45,2,0.1358,0.0089,24.45,3.58,0.075,1
1772276035.9562762,45,3,0.1191,-0.0167,24.47,3.38,0.075,1
1772276035.9854388,45,4,0.1199,0.0008,25.32,3.66,0.075,1
1772276036.268656,46,0,0.1406,0.1406,201.58,65.33,0.075,1
1772276036.3035796,46,1,0.1348,-0.0058,30.47,4.2,0.075,1
1772276036.5903444,47,0,0.1427,0.1427,209.45,64.8,0.075,1
1772276036.6201792,47,1,0.1273,-0.0154,26.27,3.34,0.075,1
1772276036.6493082,47,2,0.1344,0.0071,25.22,3.69,0.075,1
1772276036.6786625,47,3,0.1182,-0.0162,25.74,3.38,0.075,1
1772276036.7076416,47,4,0.1195,0.0013,25.28,3.48,0.075,1
1772276036.9489067,48,0,0.1442,0.1442,170.8,54.69,0.075,1
1772276036.987798,48,1,0.1376,-0.0066,35.13,3.48,0.075,1
1772276037.2338126,49,0,0.1441,0.1441,181.02,54.95,0.075,1
1772276037.2713761,49,1,0.1379,-0.0062,33.61,3.65,0.075,1
1772276037.5139108,50,0,0.1404,0.1404,169.74,56.05,0.075,1
1772276037.5452135,50,1,0.1398,-0.0005,27.67,3.37,0.075,1
1772276037.7825239,51,0,0.1446,0.1446,168.09,52.93,0.075,1
1772276037.8108695,51,1,0.131,-0.0135,24.86,3.29,0.075,1
1772276038.0482686,52,0,0.1444,0.1444,168.79,53.16,0.075,1
1772276038.0775564,52,1,0.1389,-0.0055,25.85,3.24,0.075,1
1772276038.320159,53,0,0.1432,0.1432,174.18,53.33,0.075,1
1772276038.3493106,53,1,0.1284,-0.0148,25.51,3.42,0.075,1
1772276038.620836,54,0,0.1462,0.1462,195.23,64.81,0.075,1
1772276038.6595628,54,1,0.1374,-0.0087,35.05,3.41,0.075,1
1772276038.942218,55,0,0.1458,0.1458,198.88,64.52,0.075,1
1772276038.9708085,55,1,0.1307,-0.0151,24.64,3.76,0.075,1
1772276039.2490351,56,0,0.1446,0.1446,197.3,64.72,0.075,1
1772276039.2778924,56,1,0.138,-0.0066,25.29,3.35,0.075,1
1772276039.3071914,56,2,0.1277,-0.0104,25.74,3.36,0.075,1
1772276039.3358471,56,3,0.1293,0.0016,25.17,3.28,0.075,1
1772276039.611829,57,0,0.146,0.146,194.7,64.52,0.075,1
1772276039.6399944,57,1,0.1299,-0.0161,24.54,3.44,0.075,1
1772276039.9186392,58,0,0.1475,0.1475,195.62,66.33,0.075,1
1772276039.9483624,58,1,0.1373,-0.0103,25.76,3.73,0.075,1
1772276039.9770179,58,2,0.1282,-0.0091,25.09,3.34,0.075,1
1772276040.00575,58,3,0.1298,0.0016,25.06,3.46,0.075,1
1772276040.2807882,59,0,0.1463,0.1463,200.01,64.61,0.075,1
1772276040.3097749,59,1,0.1292,-0.0171,25.42,3.33,0.075,1
1772276040.5538778,60,0,0.1413,0.1413,178.47,55.9,0.075,1
1772276040.5914989,60,1,0.1378,-0.0035,33.82,3.41,0.075,1
1772276040.8315737,61,0,0.1441,0.1441,175.46,53.63,0.075,1
1772276040.8649652,61,1,0.1283,-0.0158,29.43,3.39,0.075,1
1772276041.1030583,62,0,0.1468,0.1468,168.12,54.33,0.075,1
1772276041.1331153,62,1,0.1367,-0.0101,26.43,3.39,0.075,1
1772276041.3805072,63,0,0.1445,0.1445,176.98,53.11,0.075,1
1772276041.409864,63,1,0.1333,-0.0112,25.85,3.31,0.075,1
1772276041.43854,63,2,0.1381,0.0047,25.08,3.42,0.075,1
1772276041.4667847,63,3,0.117,-0.0211,24.72,3.37,0.075,1
1772276041.4947605,63,4,0.1205,0.0036,24.51,3.25,0.075,1
1772276041.7343905,64,0,0.1462,0.1462,170.7,53.04,0.075,1
1772276041.7621567,64,1,0.1365,-0.0097,24.22,3.36,0.075,1
1772276041.9989765,65,0,0.1451,0.1451,168.47,53.13,0.075,1
1772276042.0271094,65,1,0.1371,-0.008,24.65,3.28,0.075,1
1772276042.267568,66,0,0.1442,0.1442,171.68,54.92,0.075,1
1772276042.2991426,66,1,0.1325,-0.0118,28.0,3.29,0.075,1
1772276042.3280602,66,2,0.1338,0.0014,25.4,3.31,0.075,1
1772276042.3579457,66,3,0.121,-0.0128,25.3,4.3,0.075,1
1772276042.3993807,66,4,0.1244,0.0034,37.32,3.51,0.075,1
1772276042.634277,67,0,0.1431,0.1431,172.45,53.07,0.075,1
1772276042.6660683,67,1,0.1319,-0.0112,28.22,3.35,0.075,1
1772276042.9071043,68,0,0.1424,0.1424,180.34,52.86,0.075,1
1772276042.945848,68,1,0.1404,-0.0021,35.09,3.4,0.075,1
1772276043.1838477,69,0,0.1426,0.1426,169.32,53.31,0.075,1
1772276043.2120173,69,1,0.1331,-0.0095,24.68,3.3,0.075,1
1772276043.2399416,69,2,0.1348,0.0017,24.49,3.28,0.075,1
1772276043.268272,69,3,0.1226,-0.0122,24.53,3.64,0.075,1
1772276043.2963402,69,4,0.1209,-0.0017,24.62,3.23,0.075,1
1772276043.5314722,70,0,0.1436,0.1436,167.77,53.23,0.075,1
1772276043.5598853,70,1,0.1389,-0.0047,24.89,3.32,0.075,1
1772276043.7962084,71,0,0.1425,0.1425,168.31,53.41,0.075,1
1772276043.8241525,71,1,0.132,-0.0105,24.45,3.3,0.075,1
1772276043.8518343,71,2,0.1375,0.0055,24.25,3.27,0.075,1
1772276043.8796427,71,3,0.1225,-0.015,24.22,3.42,0.075,1
1772276043.9073312,71,4,0.1247,0.0023,24.1,3.31,0.075,1
1772276044.176261,72,0,0.1418,0.1418,194.68,64.71,0.075,1
1772276044.2047217,72,1,0.1371,-0.0047,24.54,3.74,0.075,1
1772276044.482842,73,0,0.1437,0.1437,196.39,65.43,0.075,1
1772276044.5121074,73,1,0.1252,-0.0185,25.43,3.64,0.075,1
1772276044.781785,74,0,0.1441,0.1441,195.57,64.76,0.075,1
1772276044.8111548,74,1,0.1357,-0.0084,25.87,3.28,0.075,1
1772276045.0891953,75,0,0.1456,0.1456,196.14,65.51,0.075,1
1772276045.1243136,75,1,0.12,-0.0257,31.35,3.29,0.075,1
1772276045.4022176,76,0,0.1455,0.1455,195.73,64.6,0.075,1
1772276045.4380965,76,1,0.1356,-0.0099,25.03,3.69,0.075,1
1772276045.7143412,77,0,0.1436,0.1436,197.92,65.44,0.075,1
1772276045.7532167,77,1,0.1251,-0.0186,34.86,3.48,0.075,1
