=== ACC HANDOFF LOG: campaign_20260301_0111 | Model: microsoft/Phi-4-multimodal-instruct ===
[HANDOFF] 1126 | Token Index: 89 | Drift: 0.2019 | Teacher: Llama-3.2-11B
[HANDOFF] 1126 | Token Index: 96 | Drift: 0.2008 | Teacher: Llama-3.2-11B
[HANDOFF] 1126 | Token Index: 100 | Drift: 0.2075 | Teacher: Llama-3.2-11B
[HANDOFF] 1126 | Token Index: 101 | Drift: 0.2043 | Teacher: Llama-3.2-11B
[HANDOFF] 1126 | Token Index: 105 | Drift: 0.2036 | Teacher: Llama-3.2-11B
[HANDOFF] 1126 | Token Index: 106 | Drift: 0.2003 | Teacher: Llama-3.2-11B
[HANDOFF] 1126 | Token Index: 107 | Drift: 0.2028 | Teacher: Llama-3.2-11B
[HANDOFF] 1126 | Token Index: 108 | Drift: 0.2074 | Teacher: Llama-3.2-11B
[HANDOFF] 1126 | Token Index: 109 | Drift: 0.2030 | Teacher: Llama-3.2-11B
[HANDOFF] 1126 | Token Index: 110 | Drift: 0.2041 | Teacher: Llama-3.2-11B
[HANDOFF] 1126 | Token Index: 112 | Drift: 0.2202 | Teacher: Llama-3.2-11B
[HANDOFF] 1126 | Token Index: 113 | Drift: 0.2159 | Teacher: Llama-3.2-11B
[HANDOFF] 1126 | Token Index: 118 | Drift: 0.2051 | Teacher: Llama-3.2-11B
[HANDOFF] 1126 | Token Index: 119 | Drift: 0.2127 | Teacher: Llama-3.2-11B
[HANDOFF] 1126 | Token Index: 122 | Drift: 0.2000 | Teacher: Llama-3.2-11B
[HANDOFF] 1126 | Token Index: 124 | Drift: 0.2036 | Teacher: Llama-3.2-11B
[HANDOFF] 1126 | Token Index: 129 | Drift: 0.2013 | Teacher: Llama-3.2-11B
[HANDOFF] 1126 | Token Index: 139 | Drift: 0.2066 | Teacher: Llama-3.2-11B
[HANDOFF] 1126 | Token Index: 140 | Drift: 0.2063 | Teacher: Llama-3.2-11B
[HANDOFF] 1126 | Token Index: 145 | Drift: 0.2180 | Teacher: Llama-3.2-11B
[HANDOFF] 1126 | Token Index: 146 | Drift: 0.2098 | Teacher: Llama-3.2-11B
[HANDOFF] 1126 | Token Index: 147 | Drift: 0.2205 | Teacher: Llama-3.2-11B
[HANDOFF] 1126 | Token Index: 148 | Drift: 0.2094 | Teacher: Llama-3.2-11B
[HANDOFF] 1126 | Token Index: 149 | Drift: 0.2209 | Teacher: Llama-3.2-11B
[HANDOFF] 1126 | Token Index: 151 | Drift: 0.2004 | Teacher: Llama-3.2-11B
[HANDOFF] 1126 | Token Index: 154 | Drift: 0.2132 | Teacher: Llama-3.2-11B
[HANDOFF] 1126 | Token Index: 155 | Drift: 0.2008 | Teacher: Llama-3.2-11B
[HANDOFF] 1126 | Token Index: 158 | Drift: 0.2151 | Teacher: Llama-3.2-11B
[HANDOFF] 1126 | Token Index: 160 | Drift: 0.2087 | Teacher: Llama-3.2-11B
[HANDOFF] 1126 | Token Index: 168 | Drift: 0.2087 | Teacher: Llama-3.2-11B
[HANDOFF] 1126 | Token Index: 169 | Drift: 0.2118 | Teacher: Llama-3.2-11B
[HANDOFF] 1126 | Token Index: 170 | Drift: 0.2134 | Teacher: Llama-3.2-11B
[HANDOFF] 1126 | Token Index: 171 | Drift: 0.2243 | Teacher: Llama-3.2-11B
[HANDOFF] 1126 | Token Index: 172 | Drift: 0.2186 | Teacher: Llama-3.2-11B
[HANDOFF] 1126 | Token Index: 173 | Drift: 0.2231 | Teacher: Llama-3.2-11B
[HANDOFF] 1126 | Token Index: 174 | Drift: 0.2158 | Teacher: Llama-3.2-11B
[HANDOFF] 1126 | Token Index: 175 | Drift: 0.2232 | Teacher: Llama-3.2-11B
[HANDOFF] 1126 | Token Index: 176 | Drift: 0.2049 | Teacher: Llama-3.2-11B
[HANDOFF] 1126 | Token Index: 177 | Drift: 0.2269 | Teacher: Llama-3.2-11B
[HANDOFF] 1126 | Token Index: 178 | Drift: 0.2090 | Teacher: Llama-3.2-11B
[HANDOFF] 1126 | Token Index: 179 | Drift: 0.2182 | Teacher: Llama-3.2-11B
[HANDOFF] 1126 | Token Index: 180 | Drift: 0.2030 | Teacher: Llama-3.2-11B
[HANDOFF] 1126 | Token Index: 184 | Drift: 0.2118 | Teacher: Llama-3.2-11B
[HANDOFF] 1126 | Token Index: 185 | Drift: 0.2085 | Teacher: Llama-3.2-11B
[HANDOFF] 1126 | Token Index: 186 | Drift: 0.2018 | Teacher: Llama-3.2-11B
[HANDOFF] 1126 | Token Index: 188 | Drift: 0.2062 | Teacher: Llama-3.2-11B
[HANDOFF] 1126 | Token Index: 189 | Drift: 0.2038 | Teacher: Llama-3.2-11B
[HANDOFF] 1126 | Token Index: 190 | Drift: 0.2086 | Teacher: Llama-3.2-11B
[HANDOFF] 1126 | Token Index: 193 | Drift: 0.2140 | Teacher: Llama-3.2-11B
[HANDOFF] 1126 | Token Index: 194 | Drift: 0.2034 | Teacher: Llama-3.2-11B
[HANDOFF] 1126 | Token Index: 196 | Drift: 0.2230 | Teacher: Llama-3.2-11B
[HANDOFF] 1126 | Token Index: 197 | Drift: 0.2011 | Teacher: Llama-3.2-11B
[HANDOFF] 1126 | Token Index: 199 | Drift: 0.2036 | Teacher: Llama-3.2-11B
[HANDOFF] 1126 | Token Index: 205 | Drift: 0.2054 | Teacher: Llama-3.2-11B
[HANDOFF] 1126 | Token Index: 207 | Drift: 0.2045 | Teacher: Llama-3.2-11B
[HANDOFF] 1126 | Token Index: 208 | Drift: 0.2017 | Teacher: Llama-3.2-11B
[HANDOFF] 1126 | Token Index: 212 | Drift: 0.2091 | Teacher: Llama-3.2-11B
[HANDOFF] 1126 | Token Index: 219 | Drift: 0.2211 | Teacher: Llama-3.2-11B
[HANDOFF] 1126 | Token Index: 226 | Drift: 0.2062 | Teacher: Llama-3.2-11B
[HANDOFF] 1126 | Token Index: 227 | Drift: 0.2135 | Teacher: Llama-3.2-11B
[HANDOFF] 1126 | Token Index: 228 | Drift: 0.2032 | Teacher: Llama-3.2-11B
[HANDOFF] 1126 | Token Index: 229 | Drift: 0.2019 | Teacher: Llama-3.2-11B
[HANDOFF] 1126 | Token Index: 231 | Drift: 0.2181 | Teacher: Llama-3.2-11B
[HANDOFF] 1126 | Token Index: 232 | Drift: 0.2199 | Teacher: Llama-3.2-11B
[HANDOFF] 1126 | Token Index: 233 | Drift: 0.2241 | Teacher: Llama-3.2-11B
[HANDOFF] 1126 | Token Index: 235 | Drift: 0.2042 | Teacher: Llama-3.2-11B
[HANDOFF] 1126 | Token Index: 237 | Drift: 0.2026 | Teacher: Llama-3.2-11B
[HANDOFF] 1126 | Token Index: 239 | Drift: 0.2080 | Teacher: Llama-3.2-11B
[HANDOFF] 1126 | Token Index: 240 | Drift: 0.2148 | Teacher: Llama-3.2-11B
[HANDOFF] 1126 | Token Index: 241 | Drift: 0.2232 | Teacher: Llama-3.2-11B
[HANDOFF] 1126 | Token Index: 242 | Drift: 0.2179 | Teacher: Llama-3.2-11B
[HANDOFF] 1126 | Token Index: 243 | Drift: 0.2055 | Teacher: Llama-3.2-11B
[HANDOFF] 1126 | Token Index: 246 | Drift: 0.2154 | Teacher: Llama-3.2-11B
[HANDOFF] 1126 | Token Index: 248 | Drift: 0.2065 | Teacher: Llama-3.2-11B
[HANDOFF] 1126 | Token Index: 252 | Drift: 0.2342 | Teacher: Llama-3.2-11B
[HANDOFF] 1126 | Token Index: 253 | Drift: 0.2106 | Teacher: Llama-3.2-11B
[HANDOFF] 1003 | Token Index: 10 | Drift: 0.2000 | Teacher: Llama-3.2-11B
[HANDOFF] 1003 | Token Index: 14 | Drift: 0.2048 | Teacher: Llama-3.2-11B
[HANDOFF] 1003 | Token Index: 16 | Drift: 0.2124 | Teacher: Llama-3.2-11B
[HANDOFF] 1003 | Token Index: 21 | Drift: 0.2115 | Teacher: Llama-3.2-11B
[HANDOFF] 1003 | Token Index: 26 | Drift: 0.2010 | Teacher: Llama-3.2-11B
[HANDOFF] 1003 | Token Index: 33 | Drift: 0.2002 | Teacher: Llama-3.2-11B
[HANDOFF] 1003 | Token Index: 34 | Drift: 0.2117 | Teacher: Llama-3.2-11B
[HANDOFF] 1003 | Token Index: 37 | Drift: 0.2136 | Teacher: Llama-3.2-11B
[HANDOFF] 1003 | Token Index: 38 | Drift: 0.2028 | Teacher: Llama-3.2-11B
[HANDOFF] 1003 | Token Index: 44 | Drift: 0.2090 | Teacher: Llama-3.2-11B
[HANDOFF] 1003 | Token Index: 47 | Drift: 0.2006 | Teacher: Llama-3.2-11B
[HANDOFF] 1003 | Token Index: 49 | Drift: 0.2191 | Teacher: Llama-3.2-11B
[HANDOFF] 1003 | Token Index: 50 | Drift: 0.2097 | Teacher: Llama-3.2-11B
[HANDOFF] 1003 | Token Index: 51 | Drift: 0.2120 | Teacher: Llama-3.2-11B
[HANDOFF] 1003 | Token Index: 54 | Drift: 0.2034 | Teacher: Llama-3.2-11B
[HANDOFF] 1003 | Token Index: 56 | Drift: 0.2009 | Teacher: Llama-3.2-11B
[HANDOFF] 1003 | Token Index: 66 | Drift: 0.2038 | Teacher: Llama-3.2-11B
[HANDOFF] 1003 | Token Index: 67 | Drift: 0.2140 | Teacher: Llama-3.2-11B
[HANDOFF] 1003 | Token Index: 72 | Drift: 0.2110 | Teacher: Llama-3.2-11B
[HANDOFF] 1003 | Token Index: 73 | Drift: 0.2001 | Teacher: Llama-3.2-11B
[HANDOFF] 1003 | Token Index: 74 | Drift: 0.2031 | Teacher: Llama-3.2-11B
[HANDOFF] 1003 | Token Index: 79 | Drift: 0.2041 | Teacher: Llama-3.2-11B
[HANDOFF] 1003 | Token Index: 80 | Drift: 0.2090 | Teacher: Llama-3.2-11B
[HANDOFF] 1003 | Token Index: 82 | Drift: 0.2158 | Teacher: Llama-3.2-11B
[HANDOFF] 1003 | Token Index: 86 | Drift: 0.2062 | Teacher: Llama-3.2-11B
[HANDOFF] 1003 | Token Index: 87 | Drift: 0.2163 | Teacher: Llama-3.2-11B
[HANDOFF] 1003 | Token Index: 88 | Drift: 0.2170 | Teacher: Llama-3.2-11B
[HANDOFF] 1003 | Token Index: 91 | Drift: 0.2098 | Teacher: Llama-3.2-11B
[HANDOFF] 1003 | Token Index: 92 | Drift: 0.2009 | Teacher: Llama-3.2-11B
[HANDOFF] 1003 | Token Index: 98 | Drift: 0.2207 | Teacher: Llama-3.2-11B
[HANDOFF] 1003 | Token Index: 99 | Drift: 0.2034 | Teacher: Llama-3.2-11B
[HANDOFF] 1003 | Token Index: 100 | Drift: 0.2199 | Teacher: Llama-3.2-11B
[HANDOFF] 1003 | Token Index: 103 | Drift: 0.2396 | Teacher: Llama-3.2-11B
[HANDOFF] 1003 | Token Index: 104 | Drift: 0.2380 | Teacher: Llama-3.2-11B
[HANDOFF] 1003 | Token Index: 105 | Drift: 0.2353 | Teacher: Llama-3.2-11B
[HANDOFF] 1003 | Token Index: 106 | Drift: 0.2285 | Teacher: Llama-3.2-11B
[HANDOFF] 1003 | Token Index: 107 | Drift: 0.2014 | Teacher: Llama-3.2-11B
[HANDOFF] 1003 | Token Index: 110 | Drift: 0.2171 | Teacher: Llama-3.2-11B
[HANDOFF] 1003 | Token Index: 111 | Drift: 0.2226 | Teacher: Llama-3.2-11B
