nohup: ignoring input
20:28:36 Teacher: 40G downloaded, 5/5 shards
20:29:06 Teacher: 40G downloaded, 5/5 shards
20:29:36 Teacher: 40G downloaded, 5/5 shards
20:30:06 Teacher: 40G downloaded, 5/5 shards
20:30:36 Teacher: 40G downloaded, 5/5 shards
20:31:06 Teacher: 40G downloaded, 5/5 shards
20:31:36 Teacher: 40G downloaded, 5/5 shards
20:32:06 Teacher: 40G downloaded, 5/5 shards
20:32:36 Teacher: 40G downloaded, 5/5 shards
20:33:06 Teacher: 40G downloaded, 5/5 shards
20:33:36 Teacher: 40G downloaded, 5/5 shards
20:34:06 Teacher: 40G downloaded, 5/5 shards
20:34:36 Teacher: 40G downloaded, 5/5 shards
20:35:06 Teacher: 40G downloaded, 5/5 shards
20:35:36 Teacher: 40G downloaded, 5/5 shards
20:36:06 Teacher: 40G downloaded, 5/5 shards
20:36:36 Teacher: 40G downloaded, 5/5 shards
20:37:06 Teacher: 40G downloaded, 5/5 shards
20:37:36 Teacher: 40G downloaded, 5/5 shards
20:38:06 Teacher: 40G downloaded, 5/5 shards
20:38:37 Teacher: 40G downloaded, 5/5 shards
20:39:07 Teacher: 40G downloaded, 5/5 shards
20:39:37 Teacher: 40G downloaded, 5/5 shards
20:40:07 Teacher: 40G downloaded, 5/5 shards
20:40:37 Teacher: 40G downloaded, 5/5 shards
20:41:07 Teacher: 40G downloaded, 5/5 shards
20:41:37 Teacher: 40G downloaded, 5/5 shards
20:42:07 Teacher: 40G downloaded, 5/5 shards
20:42:37 Teacher: 40G downloaded, 5/5 shards
20:43:07 Teacher: 40G downloaded, 5/5 shards
20:43:37 Teacher: 40G downloaded, 5/5 shards
20:44:07 Teacher: 40G downloaded, 5/5 shards
20:44:37 Teacher: 40G downloaded, 5/5 shards
20:45:07 Teacher: 40G downloaded, 5/5 shards
20:45:37 Teacher: 40G downloaded, 5/5 shards
20:46:07 Teacher: 40G downloaded, 5/5 shards
20:46:37 Teacher: 40G downloaded, 5/5 shards
20:47:07 Teacher: 40G downloaded, 5/5 shards
20:47:37 Teacher: 40G downloaded, 5/5 shards
20:48:07 Teacher: 40G downloaded, 5/5 shards
20:48:37 Teacher: 40G downloaded, 5/5 shards
20:49:07 Teacher: 40G downloaded, 5/5 shards
20:49:37 Teacher: 40G downloaded, 5/5 shards
20:50:07 Teacher: 40G downloaded, 5/5 shards
20:50:37 Teacher: 40G downloaded, 5/5 shards
20:51:07 Teacher: 40G downloaded, 5/5 shards
20:51:37 Teacher: 40G downloaded, 5/5 shards
20:52:07 Teacher: 40G downloaded, 5/5 shards
20:52:37 Teacher: 40G downloaded, 5/5 shards
20:53:07 Teacher: 40G downloaded, 5/5 shards
20:53:37 Teacher: 40G downloaded, 5/5 shards
20:54:07 Teacher: 40G downloaded, 5/5 shards
20:54:37 Teacher: 40G downloaded, 5/5 shards
20:55:07 Teacher: 40G downloaded, 5/5 shards
20:55:37 Teacher: 40G downloaded, 5/5 shards
20:56:07 Teacher: 40G downloaded, 5/5 shards
20:56:37 Teacher: 40G downloaded, 5/5 shards
20:57:07 Teacher: 40G downloaded, 5/5 shards
20:57:37 Teacher: 40G downloaded, 5/5 shards
20:58:07 Teacher: 40G downloaded, 5/5 shards
20:58:37 Teacher: 40G downloaded, 5/5 shards
20:59:07 Teacher: 40G downloaded, 5/5 shards
20:59:37 Teacher: 40G downloaded, 5/5 shards
21:00:07 Teacher: 40G downloaded, 5/5 shards
21:00:37 Teacher: 40G downloaded, 5/5 shards
21:01:07 Teacher: 40G downloaded, 5/5 shards
21:01:37 Teacher: 40G downloaded, 5/5 shards
21:02:07 Teacher: 40G downloaded, 5/5 shards
21:02:37 Teacher: 40G downloaded, 5/5 shards
21:03:07 Teacher: 40G downloaded, 5/5 shards
21:03:37 Teacher: 40G downloaded, 5/5 shards
21:04:07 Teacher: 40G downloaded, 5/5 shards
21:04:37 Teacher: 40G downloaded, 5/5 shards
21:05:07 Teacher: 40G downloaded, 5/5 shards
21:05:37 Teacher: 40G downloaded, 5/5 shards
21:06:07 Teacher: 40G downloaded, 5/5 shards
21:06:37 Teacher: 40G downloaded, 5/5 shards
21:07:07 Teacher: 40G downloaded, 5/5 shards
21:07:37 Teacher: 40G downloaded, 5/5 shards
21:08:07 Teacher: 40G downloaded, 5/5 shards
21:08:37 Teacher: 40G downloaded, 5/5 shards
21:09:07 Teacher: 40G downloaded, 5/5 shards
21:09:37 Teacher: 40G downloaded, 5/5 shards
21:10:07 Teacher: 40G downloaded, 5/5 shards
21:10:37 Teacher: 40G downloaded, 5/5 shards
21:11:07 Teacher: 40G downloaded, 5/5 shards
21:11:37 Teacher: 40G downloaded, 5/5 shards
21:12:07 Teacher: 40G downloaded, 5/5 shards
21:12:37 Teacher: 40G downloaded, 5/5 shards
21:13:07 Teacher: 40G downloaded, 5/5 shards
21:13:37 Teacher: 40G downloaded, 5/5 shards
21:14:07 Teacher: 40G downloaded, 5/5 shards
21:14:37 Teacher: 40G downloaded, 5/5 shards
21:15:07 Teacher: 40G downloaded, 5/5 shards
21:15:37 Teacher: 40G downloaded, 5/5 shards
21:16:07 Teacher: 40G downloaded, 5/5 shards
21:16:37 Teacher: 40G downloaded, 5/5 shards
21:17:07 Teacher: 40G downloaded, 5/5 shards
21:17:38 Teacher: 40G downloaded, 5/5 shards
21:18:08 Teacher: 40G downloaded, 5/5 shards
21:18:38 Teacher: 40G downloaded, 5/5 shards
21:19:08 Teacher: 40G downloaded, 5/5 shards
21:19:38 Teacher: 40G downloaded, 5/5 shards
21:20:08 Teacher: 40G downloaded, 5/5 shards
21:20:38 Teacher: 40G downloaded, 5/5 shards
21:21:08 Teacher: 40G downloaded, 5/5 shards
21:21:38 Teacher: 40G downloaded, 5/5 shards
21:22:08 Teacher: 40G downloaded, 5/5 shards
21:22:38 Teacher: 40G downloaded, 5/5 shards
21:23:08 Teacher: 40G downloaded, 5/5 shards
21:23:38 Teacher: 40G downloaded, 5/5 shards
21:24:08 Teacher: 40G downloaded, 5/5 shards
21:24:38 Teacher: 40G downloaded, 5/5 shards
21:25:08 Teacher: 40G downloaded, 5/5 shards
21:25:38 Teacher: 40G downloaded, 5/5 shards
21:26:08 Teacher: 40G downloaded, 5/5 shards
21:26:38 Teacher: 40G downloaded, 5/5 shards
21:27:08 Teacher: 40G downloaded, 5/5 shards
21:27:38 Teacher: 40G downloaded, 5/5 shards
21:28:08 Teacher: 40G downloaded, 5/5 shards
21:28:38 Teacher: 40G downloaded, 5/5 shards
21:29:08 Teacher: 40G downloaded, 5/5 shards
21:29:38 Teacher: 40G downloaded, 5/5 shards
21:30:08 Teacher: 40G downloaded, 5/5 shards
21:30:38 Teacher: 40G downloaded, 5/5 shards
21:31:08 Teacher: 40G downloaded, 5/5 shards
21:31:38 Teacher: 40G downloaded, 5/5 shards
21:32:08 Teacher: 40G downloaded, 5/5 shards
21:32:38 Teacher: 40G downloaded, 5/5 shards
21:33:08 Teacher: 40G downloaded, 5/5 shards
21:33:38 Teacher: 40G downloaded, 5/5 shards
21:34:08 Teacher: 40G downloaded, 5/5 shards
21:34:38 Teacher: 40G downloaded, 5/5 shards
21:35:08 Teacher: 40G downloaded, 5/5 shards
21:35:38 Teacher: 40G downloaded, 5/5 shards
21:36:08 Teacher: 40G downloaded, 5/5 shards
21:36:38 Teacher: 40G downloaded, 5/5 shards
21:37:08 Teacher: 40G downloaded, 5/5 shards
21:37:38 Teacher: 40G downloaded, 5/5 shards
21:38:08 Teacher: 40G downloaded, 5/5 shards
21:38:38 Teacher: 40G downloaded, 5/5 shards
21:39:08 Teacher: 40G downloaded, 5/5 shards
21:39:38 Teacher: 40G downloaded, 5/5 shards
21:40:08 Teacher: 40G downloaded, 5/5 shards
21:40:38 Teacher: 40G downloaded, 5/5 shards
21:41:08 Teacher: 40G downloaded, 5/5 shards
21:41:38 Teacher: 40G downloaded, 5/5 shards
21:42:08 Teacher: 40G downloaded, 5/5 shards
21:42:38 Teacher: 40G downloaded, 5/5 shards
21:43:08 Teacher: 40G downloaded, 5/5 shards
21:43:38 Teacher: 40G downloaded, 5/5 shards
21:44:08 Teacher: 40G downloaded, 5/5 shards
21:44:38 Teacher: 40G downloaded, 5/5 shards
21:45:08 Teacher: 40G downloaded, 5/5 shards
21:45:38 Teacher: 40G downloaded, 5/5 shards
21:46:08 Teacher: 40G downloaded, 5/5 shards
21:46:38 Teacher: 40G downloaded, 5/5 shards
21:47:08 Teacher: 40G downloaded, 5/5 shards
21:47:38 Teacher: 40G downloaded, 5/5 shards
21:48:08 Teacher: 40G downloaded, 5/5 shards
21:48:38 Teacher: 40G downloaded, 5/5 shards
21:49:08 Teacher: 40G downloaded, 5/5 shards
21:49:38 Teacher: 40G downloaded, 5/5 shards
21:50:08 Teacher: 40G downloaded, 5/5 shards
21:50:38 Teacher: 40G downloaded, 5/5 shards
21:51:08 Teacher: 40G downloaded, 5/5 shards
21:51:38 Teacher: 40G downloaded, 5/5 shards
21:52:08 Teacher: 40G downloaded, 5/5 shards
21:52:38 Teacher: 40G downloaded, 5/5 shards
21:53:08 Teacher: 40G downloaded, 5/5 shards
21:53:38 Teacher: 40G downloaded, 5/5 shards
21:54:08 Teacher: 40G downloaded, 5/5 shards
21:54:38 Teacher: 40G downloaded, 5/5 shards
21:55:08 Teacher: 40G downloaded, 5/5 shards
21:55:38 Teacher: 40G downloaded, 5/5 shards
21:56:08 Teacher: 40G downloaded, 5/5 shards
21:56:38 Teacher: 40G downloaded, 5/5 shards
21:57:08 Teacher: 40G downloaded, 5/5 shards
21:57:38 Teacher: 40G downloaded, 5/5 shards
21:58:08 Teacher: 40G downloaded, 5/5 shards
21:58:38 Teacher: 40G downloaded, 5/5 shards
21:59:08 Teacher: 40G downloaded, 5/5 shards
21:59:39 Teacher: 40G downloaded, 5/5 shards
22:00:09 Teacher: 40G downloaded, 5/5 shards
22:00:39 Teacher: 40G downloaded, 5/5 shards
22:01:09 Teacher: 40G downloaded, 5/5 shards
22:01:39 Teacher: 40G downloaded, 5/5 shards
22:02:09 Teacher: 40G downloaded, 5/5 shards
22:02:39 Teacher: 40G downloaded, 5/5 shards
22:03:09 Teacher: 40G downloaded, 5/5 shards
22:03:39 Teacher: 40G downloaded, 5/5 shards
22:04:09 Teacher: 40G downloaded, 5/5 shards
22:04:39 Teacher: 40G downloaded, 5/5 shards
22:05:09 Teacher: 40G downloaded, 5/5 shards
22:05:39 Teacher: 40G downloaded, 5/5 shards
22:06:09 Teacher: 40G downloaded, 5/5 shards
22:06:39 Teacher: 40G downloaded, 5/5 shards
22:07:09 Teacher: 40G downloaded, 5/5 shards
22:07:39 Teacher: 40G downloaded, 5/5 shards
22:08:09 Teacher: 40G downloaded, 5/5 shards
22:08:39 Teacher: 40G downloaded, 5/5 shards
22:09:09 Teacher: 40G downloaded, 5/5 shards
22:09:39 Teacher: 40G downloaded, 5/5 shards
22:10:09 Teacher: 40G downloaded, 5/5 shards
22:10:39 Teacher: 40G downloaded, 5/5 shards
22:11:09 Teacher: 40G downloaded, 5/5 shards
22:11:39 Teacher: 40G downloaded, 5/5 shards
22:12:09 Teacher: 40G downloaded, 5/5 shards
22:12:39 Teacher: 40G downloaded, 5/5 shards
22:13:09 Teacher: 40G downloaded, 5/5 shards
22:13:39 Teacher: 40G downloaded, 5/5 shards
