timestamp,task_id,step,drift_score,drift_velocity,vlm_forward_ms,acc_overhead_ms,threshold,intervention_active
1772514040.4955826,2619,0,0.002,0.002,545.44,24.08,0.0032,0
1772514040.5475364,2619,1,0.0024,0.0003,43.78,7.6,0.0032,0
1772514040.5928452,2619,2,0.0027,0.0004,38.54,6.4,0.0032,0
1772514041.1155944,131386001,0,0.0021,0.0021,481.49,28.48,0.0032,0
1772514041.1574776,131386001,1,0.0024,0.0003,35.28,6.21,0.0032,0
1772514041.1958268,131386001,2,0.0028,0.0003,31.8,6.22,0.0032,0
1772514041.9680398,655,0,0.0021,0.0021,712.28,37.38,0.0032,0
1772514042.0071225,655,1,0.0019,-0.0002,32.54,6.14,0.0032,0
1772514042.0450616,655,2,0.0018,-0.0,31.33,6.33,0.0032,0
1772514042.0824707,655,3,0.0019,0.0,30.83,6.3,0.0032,0
1772514042.1199303,655,4,0.0016,-0.0003,30.98,6.24,0.0032,0
1772514042.1572561,655,5,0.0016,0.0001,30.95,6.14,0.0032,0
1772514042.1947348,655,6,0.0015,-0.0001,30.92,6.32,0.0032,0
1772514042.232137,655,7,0.0015,0.0,30.91,6.24,0.0032,0
1772514042.2695668,655,8,0.0014,-0.0002,31.04,6.14,0.0032,0
1772514042.307038,655,9,0.0016,0.0002,31.03,6.2,0.0032,0
1772514042.3462107,655,10,0.0017,0.0001,32.59,6.31,0.0032,0
1772514042.3852544,655,11,0.0016,-0.0001,32.47,6.29,0.0032,0
1772514042.4249659,655,12,0.0017,0.0001,33.14,6.23,0.0032,0
1772514042.4651494,655,13,0.0016,-0.0001,33.53,6.33,0.0032,0
1772514042.5059483,655,14,0.0017,0.0001,34.25,6.22,0.0032,0
1772514042.5452058,655,15,0.0016,-0.0001,32.61,6.32,0.0032,0
1772514042.583759,655,16,0.0016,-0.0,31.99,6.27,0.0032,0
1772514042.621908,655,17,0.0018,0.0002,31.62,6.26,0.0032,0
1772514042.6599658,655,18,0.0017,-0.0,31.58,6.24,0.0032,0
1772514042.6984696,655,19,0.0018,0.0,31.21,7.06,0.0032,0
1772514042.7362394,655,20,0.0017,-0.0001,31.28,6.24,0.0032,0
1772514042.7748334,655,21,0.0014,-0.0002,32.1,6.17,0.0032,0
1772514042.8122103,655,22,0.0017,0.0003,30.94,6.18,0.0032,0
1772514042.8494413,655,23,0.0014,-0.0003,30.81,6.19,0.0032,0
1772514042.8869827,655,24,0.0019,0.0005,31.07,6.23,0.0032,0
1772514042.9247246,655,25,0.002,0.0,31.3,6.18,0.0032,0
1772514042.9624205,655,26,0.0013,-0.0006,31.14,6.27,0.0032,0
1772514043.0000691,655,27,0.001,-0.0003,31.01,6.37,0.0032,0
1772514043.0421782,655,28,0.0016,0.0006,35.47,6.31,0.0032,0
1772514043.0834446,655,29,0.0016,0.0,34.48,6.42,0.0032,0
1772514043.123047,655,30,0.002,0.0003,32.92,6.33,0.0032,0
1772514043.162523,655,31,0.002,0.0,32.81,6.31,0.0032,0
1772514043.2021797,655,32,0.0016,-0.0004,33.03,6.25,0.0032,0
1772514043.2435923,655,33,0.0019,0.0003,34.91,6.16,0.0032,0
1772514043.283791,655,34,0.0012,-0.0006,33.54,6.32,0.0032,0
1772514043.3229544,655,35,0.0009,-0.0003,32.48,6.37,0.0032,0
1772514043.3631902,655,36,0.0011,0.0002,33.06,6.63,0.0032,0
1772514043.4031146,655,37,0.0012,0.0001,32.66,6.94,0.0032,0
1772514043.4455266,655,38,0.001,-0.0002,35.08,6.93,0.0032,0
1772514043.4886112,655,39,0.0014,0.0004,36.26,6.22,0.0032,0
1772514043.5282652,655,40,0.0013,-0.0001,33.01,6.29,0.0032,0
1772514043.5683916,655,41,0.0016,0.0002,33.56,6.26,0.0032,0
1772514043.608316,655,42,0.0013,-0.0002,33.28,6.33,0.0032,0
1772514043.646925,655,43,0.0015,0.0001,32.01,6.29,0.0032,0
1772514043.685185,655,44,0.0013,-0.0001,31.76,6.23,0.0032,0
1772514043.72341,655,45,0.0015,0.0002,31.74,6.23,0.0032,0
1772514043.7603302,655,46,0.0009,-0.0006,30.56,6.13,0.0032,0
1772514043.7974546,655,47,0.0016,0.0007,30.7,6.19,0.0032,0
1772514043.8350837,655,48,0.0014,-0.0002,31.18,6.22,0.0032,0
1772514043.8728743,655,49,0.0011,-0.0003,31.31,6.24,0.0032,0
1772514043.9114957,655,50,0.0012,0.0002,32.07,6.29,0.0032,0
1772514043.9501834,655,51,0.0014,0.0002,32.12,6.26,0.0032,0
1772514043.9884932,655,52,0.001,-0.0004,31.79,6.25,0.0032,0
1772514044.0261853,655,53,0.0009,-0.0001,31.22,6.22,0.0032,0
1772514044.0637338,655,54,0.001,0.0002,31.13,6.18,0.0032,0
1772514044.101472,655,55,0.0012,0.0001,31.25,6.23,0.0032,0
1772514044.13936,655,56,0.0009,-0.0003,31.43,6.22,0.0032,0
1772514044.177002,655,57,0.001,0.0001,31.27,6.14,0.0032,0
1772514044.2147174,655,58,0.0008,-0.0002,31.2,6.27,0.0032,0
1772514044.2525034,655,59,0.0012,0.0004,31.38,6.16,0.0032,0
1772514044.29032,655,60,0.0012,0.0,31.42,6.15,0.0032,0
1772514044.3272629,655,61,0.0012,-0.0,30.44,6.26,0.0032,0
1772514044.3642368,655,62,0.0012,0.0001,30.55,6.19,0.0032,0
1772514044.4016783,655,63,0.0013,0.0001,30.97,6.24,0.0032,0
1772514044.4388509,655,64,0.0009,-0.0004,30.76,6.16,0.0032,0
1772514044.4759703,655,65,0.0009,-0.0,30.72,6.14,0.0032,0
1772514044.5137515,655,66,0.0012,0.0003,31.32,6.21,0.0032,0
1772514044.5510595,655,67,0.0013,0.0001,30.79,6.26,0.0032,0
1772514044.5884354,655,68,0.0012,-0.0001,30.9,6.23,0.0032,0
1772514044.6254988,655,69,0.0013,0.0001,30.62,6.21,0.0032,0
1772514044.6622572,655,70,0.0014,0.0001,30.36,6.18,0.0032,0
1772514044.6991372,655,71,0.0019,0.0004,30.41,6.25,0.0032,0
1772514044.7362528,655,72,0.0008,-0.0011,30.68,6.21,0.0032,0
1772514044.7730982,655,73,0.0022,0.0014,30.38,6.24,0.0032,0
1772514044.809915,655,74,0.0009,-0.0014,30.44,6.15,0.0032,0
1772514044.846824,655,75,0.0004,-0.0005,30.42,6.26,0.0032,0
1772514044.8846858,655,76,0.0006,0.0002,31.39,6.24,0.0032,0
1772514044.9235222,655,77,0.0009,0.0004,32.38,6.18,0.0032,0
1772514044.962987,655,78,0.0007,-0.0003,32.79,6.36,0.0032,0
1772514045.0039024,655,79,0.0009,0.0003,33.77,6.79,0.0032,0
1772514045.0493207,655,80,0.0005,-0.0004,38.48,6.28,0.0032,0
1772514045.0939136,655,81,0.001,0.0005,37.77,6.48,0.0032,0
1772514045.1348734,655,82,0.0008,-0.0002,34.29,6.32,0.0032,0
1772514045.1725082,655,83,0.0006,-0.0003,31.2,6.15,0.0032,0
1772514045.20984,655,84,0.001,0.0005,30.82,6.27,0.0032,0
1772514045.2501903,655,85,0.0008,-0.0002,33.8,6.31,0.0032,0
1772514045.2889183,655,86,0.0017,0.0008,32.19,6.27,0.0032,0
1772514045.3276355,655,87,0.0012,-0.0004,32.03,6.41,0.0032,0
1772514045.3670611,655,88,0.001,-0.0002,32.82,6.29,0.0032,0
1772514045.4071138,655,89,0.0006,-0.0004,33.51,6.21,0.0032,0
1772514045.446289,655,90,0.0005,-0.0001,32.55,6.31,0.0032,0
1772514045.4851477,655,91,0.0009,0.0005,32.31,6.26,0.0032,0
1772514045.5239007,655,92,0.0008,-0.0001,32.24,6.24,0.0032,0
1772514045.5625782,655,93,0.001,0.0001,32.19,6.22,0.0032,0
1772514045.602343,655,94,0.0012,0.0002,32.98,6.37,0.0032,0
1772514045.64509,655,95,0.001,-0.0002,36.09,6.3,0.0032,0
1772514045.6846552,655,96,0.0011,0.0001,32.96,6.26,0.0032,0
1772514045.7235177,655,97,0.001,-0.0001,32.24,6.26,0.0032,0
1772514045.7639754,655,98,0.0013,0.0003,33.93,6.21,0.0032,0
1772514045.8021839,655,99,0.0012,-0.0001,31.62,6.25,0.0032,0
1772514045.8399246,655,100,0.0012,-0.0001,31.21,6.28,0.0032,0
1772514045.8777094,655,101,0.0013,0.0001,31.18,6.37,0.0032,0
1772514045.9154544,655,102,0.0012,-0.0001,31.25,6.2,0.0032,0
1772514045.9533913,655,103,0.0006,-0.0005,31.41,6.26,0.0032,0
1772514045.990945,655,104,0.0006,-0.0,31.09,6.23,0.0032,0
1772514046.0285766,655,105,0.0007,0.0001,31.09,6.31,0.0032,0
1772514046.0659595,655,106,0.0005,-0.0001,30.82,6.33,0.0032,0
1772514046.1034894,655,107,0.0005,-0.0001,31.11,6.19,0.0032,0
1772514046.1441808,655,108,0.0011,0.0006,34.11,6.35,0.0032,0
1772514046.1822295,655,109,0.0009,-0.0003,31.47,6.28,0.0032,0
1772514046.220326,655,110,0.0009,0.0001,31.57,6.27,0.0032,0
1772514046.258321,655,111,0.001,0.0,31.56,6.18,0.0032,0
1772514046.2987726,655,112,0.0009,-0.0,33.13,7.06,0.0032,0
1772514046.3388853,655,113,0.0003,-0.0006,33.5,6.32,0.0032,0
1772514046.37844,655,114,0.0007,0.0004,32.69,6.57,0.0032,0
1772514046.417379,655,115,0.0012,0.0005,32.27,6.31,0.0032,0
1772514046.4555295,655,116,0.0012,-0.0,31.6,6.26,0.0032,0
1772514046.4931738,655,117,0.0011,-0.0001,31.13,6.24,0.0032,0
1772514046.5307236,655,118,0.0011,-0.0,31.02,6.29,0.0032,0
1772514046.5681596,655,119,0.0015,0.0004,30.91,6.27,0.0032,0
1772514046.6052725,655,120,0.0019,0.0004,30.62,6.22,0.0032,0
1772514046.6424603,655,121,0.0006,-0.0013,30.73,6.22,0.0032,0
1772514046.679919,655,122,0.0007,0.0001,30.95,6.27,0.0032,0
1772514046.718569,655,123,0.0011,0.0004,32.23,6.17,0.0032,0
1772514046.7575986,655,124,0.0006,-0.0005,32.51,6.23,0.0032,0
1772514046.7972903,655,125,0.001,0.0004,33.12,6.25,0.0032,0
1772514046.8361483,655,126,0.001,0.0001,32.42,6.14,0.0032,0
1772514046.8746634,655,127,0.0002,-0.0009,31.99,6.24,0.0032,0
1772514046.913835,655,128,0.0002,0.0001,32.53,6.35,0.0032,0
1772514046.953442,655,129,0.0004,0.0002,33.02,6.26,0.0032,0
1772514046.9918935,655,130,0.0009,0.0005,31.91,6.23,0.0032,0
1772514047.0301018,655,131,0.0008,-0.0001,31.53,6.42,0.0032,0
1772514047.0678031,655,132,0.0,-0.0008,31.31,6.14,0.0032,0
1772514047.1058226,655,133,0.0004,0.0004,31.54,6.22,0.0032,0
1772514047.1436012,655,134,0.0008,0.0004,31.27,6.26,0.0032,0
1772514047.1812198,655,135,0.0016,0.0008,31.18,6.19,0.0032,0
1772514047.2189367,655,136,0.0019,0.0003,31.23,6.25,0.0032,0
1772514047.323804,alf_v_0,0,0.0009,0.0009,95.35,7.83,0.0032,0
1772514047.3631203,alf_v_0,1,0.0011,0.0002,32.71,6.24,0.0032,0
1772514047.4029493,alf_v_0,2,0.001,-0.0001,33.34,6.15,0.0032,0
1772514047.4413261,alf_v_0,3,0.0014,0.0005,31.86,6.22,0.0032,0
1772514047.478948,alf_v_0,4,0.0012,-0.0003,31.11,6.25,0.0032,0
1772514047.5165215,alf_v_0,5,0.0002,-0.0009,31.17,6.16,0.0032,0
1772514047.5565271,alf_v_0,6,0.0016,0.0014,33.7,6.06,0.0032,0
1772514047.5933096,alf_v_0,7,0.0002,-0.0014,30.27,6.24,0.0032,0
1772514047.630115,alf_v_0,8,0.0011,0.0009,30.29,6.27,0.0032,0
1772514047.666319,alf_v_0,9,0.0013,0.0002,29.74,6.24,0.0032,0
1772514047.7024276,alf_v_0,10,0.0005,-0.0008,29.72,6.16,0.0032,0
1772514047.7402117,alf_v_0,11,0.0015,0.0009,31.04,6.49,0.0032,0
1772514047.7778885,alf_v_0,12,0.0021,0.0007,31.2,6.21,0.0032,0
1772514047.8156261,alf_v_0,13,0.0023,0.0002,31.17,6.28,0.0032,0
