timestamp,task_id,step,drift_score,drift_velocity,vlm_forward_ms,acc_overhead_ms,threshold,intervention_active
1772391920.6908588,unknown,0,0.015,0.015,649.41,23.69,0.2,0
1772391920.7335386,unknown,1,0.0165,0.0014,35.79,6.3,0.2,0
1772391920.7726202,unknown,2,0.0172,0.0007,32.44,6.28,0.2,0
1772391940.1015217,unknown,0,0.0144,0.0144,748.35,42.68,0.2,0
1772391940.1407728,unknown,1,0.014,-0.0004,32.61,6.28,0.2,0
1772391940.1788588,unknown,2,0.0132,-0.0008,31.49,6.29,0.2,0
1772391949.7106571,unknown,0,0.0147,0.0147,101.08,8.04,0.2,0
1772391949.7516913,unknown,1,0.0165,0.0018,34.13,6.42,0.2,0
1772391949.7950873,unknown,2,0.015,-0.0015,36.12,6.4,0.2,0
1772391949.836153,unknown,3,0.0147,-0.0003,34.36,6.16,0.2,0
1772391949.8779142,unknown,4,0.0138,-0.0009,35.15,6.29,0.2,0
1772391949.9172814,unknown,5,0.0124,-0.0014,32.8,6.25,0.2,0
1772391949.9557898,unknown,6,0.019,0.0065,31.97,6.23,0.2,0
1772391949.9944947,unknown,7,0.0151,-0.0038,32.18,6.25,0.2,0
1772391950.0318875,unknown,8,0.0082,-0.0069,30.88,6.25,0.2,0
1772391950.0690012,unknown,9,0.019,0.0108,30.66,6.21,0.2,0
1772391950.107137,unknown,10,0.0125,-0.0064,31.69,6.15,0.2,0
1772391950.144866,unknown,11,0.0168,0.0042,31.15,6.29,0.2,0
1772391950.182255,unknown,12,0.0154,-0.0014,30.85,6.27,0.2,0
1772391950.2193696,unknown,13,0.0062,-0.0092,30.5,6.34,0.2,0
1772391950.2568793,unknown,14,0.0214,0.0152,31.19,6.07,0.2,0
1772391950.2942064,unknown,15,0.0106,-0.0108,30.87,6.2,0.2,0
1772391950.3313498,unknown,16,0.0001,-0.0105,30.63,6.27,0.2,0
1772391950.3693624,unknown,17,0.0029,0.0028,31.52,6.25,0.2,0
1772391959.9298687,unknown,0,0.0094,0.0094,358.03,23.23,0.2,0
1772391959.968411,unknown,1,0.0289,0.0195,31.94,6.26,0.2,0
1772391960.0068305,unknown,2,0.0243,-0.0046,31.51,6.59,0.2,0
1772391960.044074,unknown,3,0.027,0.0027,30.76,6.21,0.2,0
1772391960.0814664,unknown,4,0.0225,-0.0045,30.8,6.34,0.2,0
1772391960.118551,unknown,5,0.01,-0.0125,30.55,6.27,0.2,0
1772391960.1570737,unknown,6,0.0242,0.0142,31.96,6.26,0.2,0
1772391960.1945956,unknown,7,0.0234,-0.0007,31.0,6.25,0.2,0
1772391960.2352784,unknown,8,0.0196,-0.0038,33.89,6.16,0.2,0
1772391960.2732847,unknown,9,0.0231,0.0035,31.31,6.39,0.2,0
1772391960.3135183,unknown,10,0.0221,-0.0009,33.82,6.14,0.2,0
1772391960.352803,unknown,11,0.0224,0.0003,32.67,6.27,0.2,0
1772391960.3919308,unknown,12,0.0211,-0.0013,32.53,6.27,0.2,0
1772391960.4309192,unknown,13,0.0225,0.0014,32.35,6.34,0.2,0
1772391960.4698524,unknown,14,0.0212,-0.0013,32.42,6.23,0.2,0
1772391960.5087109,unknown,15,0.0267,0.0055,32.34,6.24,0.2,0
1772391960.5476577,unknown,16,0.0218,-0.0049,32.37,6.28,0.2,0
1772391960.5867908,unknown,17,0.0185,-0.0033,32.65,6.19,0.2,0
1772391960.6246116,unknown,18,0.0216,0.0031,31.45,6.12,0.2,0
1772391960.6630247,unknown,19,0.0161,-0.0056,31.88,6.27,0.2,0
1772391960.7035162,unknown,20,0.017,0.0009,34.09,6.15,0.2,0
