timestamp,task_id,step,drift_score,drift_velocity,vlm_forward_ms,acc_overhead_ms,threshold,intervention_active
1772317252.6195874,2619,0,0.0057,0.0057,332.51,14.12,0.075,0
1772317252.662473,2619,1,0.0149,0.0092,38.33,3.78,0.075,0
1772317252.9000661,131386001,0,0.0171,0.0171,170.52,52.47,0.075,0
1772317252.9280252,131386001,1,0.0096,-0.0075,24.28,3.31,0.075,0
1772317252.9564095,131386001,2,0.0098,0.0003,24.63,3.47,0.075,0
1772317252.9843082,131386001,3,0.0212,0.0113,24.39,3.28,0.075,0
1772317253.0122235,131386001,4,0.0168,-0.0043,24.38,3.28,0.075,0
1772317253.0396616,131386001,5,0.0517,0.0349,23.94,3.26,0.075,0
1772317253.4032357,655,0,0.0523,0.0523,271.89,78.39,0.075,0
1772317253.4313838,655,1,0.0777,0.0255,24.55,3.29,0.075,1
1772317253.5074573,alf_v_0,0,0.0305,0.0305,43.29,31.61,0.075,0
1772317253.5383713,alf_v_0,1,0.0699,0.0393,27.21,3.38,0.075,0
1772317253.5729756,alf_v_0,2,0.0073,-0.0625,30.96,3.33,0.075,0
1772317253.60149,alf_v_0,3,0.0537,0.0463,24.83,3.37,0.075,0
1772317253.6288447,alf_v_0,4,0.0474,-0.0063,23.77,3.31,0.075,0
1772317253.6564105,alf_v_0,5,0.0985,0.0511,24.0,3.3,0.075,1
1772317253.6849887,alf_v_0,6,0.0711,-0.0274,24.25,4.13,0.075,0
1772317253.721346,alf_v_0,7,0.1096,0.0385,32.34,3.61,0.075,1
1772317253.7594385,alf_v_0,8,0.0846,-0.0249,34.42,3.41,0.075,1
1772317253.7932792,alf_v_0,9,0.1076,0.023,30.33,3.27,0.075,1
1772317253.8233874,alf_v_0,10,0.0823,-0.0253,26.52,3.34,0.075,1
1772317253.8533912,alf_v_0,11,0.1066,0.0243,26.3,3.44,0.075,1
1772317253.8835337,alf_v_0,12,0.0806,-0.026,26.12,3.65,0.075,1
1772317253.9132807,alf_v_0,13,0.1038,0.0233,26.13,3.32,0.075,1
1772317253.942638,alf_v_0,14,0.0834,-0.0204,25.71,3.38,0.075,1
1772317253.9722123,alf_v_0,15,0.1037,0.0202,25.67,3.63,0.075,1
1772317254.0020437,alf_v_0,16,0.0824,-0.0212,25.92,3.65,0.075,1
1772317254.0313284,alf_v_0,17,0.1029,0.0205,25.67,3.33,0.075,1
1772317254.0610175,alf_v_0,18,0.0821,-0.0208,26.11,3.32,0.075,1
1772317254.090508,alf_v_0,19,0.1018,0.0198,25.81,3.41,0.075,1
1772317254.1196039,alf_v_0,20,0.0823,-0.0195,25.52,3.3,0.075,1
1772317254.149108,alf_v_0,21,0.1012,0.0189,25.82,3.37,0.075,1
1772317254.1794772,alf_v_0,22,0.0822,-0.019,26.82,3.3,0.075,1
1772317254.2182465,alf_v_0,23,0.1009,0.0187,34.77,3.69,0.075,1
1772317254.2562113,alf_v_0,24,0.082,-0.0189,34.18,3.46,0.075,1
1772317254.297412,alf_v_0,25,0.1009,0.0189,37.59,3.34,0.075,1
1772317254.3341486,alf_v_0,26,0.0814,-0.0195,32.83,3.61,0.075,1
1772317254.3665895,alf_v_0,27,0.1011,0.0197,28.6,3.59,0.075,1
1772317254.4044747,alf_v_0,28,0.0806,-0.0205,34.19,3.4,0.075,1
1772317254.4352589,alf_v_0,29,0.1015,0.0209,26.88,3.65,0.075,1
1772317254.4657867,alf_v_0,30,0.0798,-0.0218,26.76,3.49,0.075,1
1772317254.5050282,alf_v_0,31,0.1019,0.0221,35.38,3.56,0.075,1
1772317254.5358403,alf_v_0,32,0.0786,-0.0233,27.18,3.36,0.075,1
1772317254.566636,alf_v_0,33,0.1022,0.0236,26.87,3.62,0.075,1
1772317254.6033165,alf_v_0,34,0.0772,-0.025,32.97,3.43,0.075,1
1772317254.6351004,alf_v_0,35,0.1024,0.0251,27.8,3.69,0.075,1
1772317254.6728804,alf_v_0,36,0.0754,-0.027,34.2,3.32,0.075,1
1772317254.7054358,alf_v_0,37,0.1024,0.027,28.95,3.34,0.075,1
1772317254.7412426,alf_v_0,38,0.0735,-0.029,32.09,3.45,0.075,0
1772317254.772797,alf_v_0,39,0.1139,0.0405,26.32,4.78,0.075,1
1772317254.8137877,alf_v_0,40,0.0909,-0.023,36.83,3.38,0.075,1
1772317254.8503366,alf_v_0,41,0.1136,0.0227,32.55,3.7,0.075,1
1772317254.8852243,alf_v_0,42,0.089,-0.0246,30.89,3.7,0.075,1
1772317254.9152632,alf_v_0,43,0.1131,0.0241,25.57,4.14,0.075,1
1772317254.9568303,alf_v_0,44,0.0872,-0.0259,37.69,3.42,0.075,1
1772317254.9948575,alf_v_0,45,0.1126,0.0254,34.45,3.29,0.075,1
1772317255.0334754,alf_v_0,46,0.0859,-0.0267,34.75,3.61,0.075,1
1772317255.0745754,alf_v_0,47,0.1121,0.0262,37.29,3.54,0.075,1
1772317255.1037624,alf_v_0,48,0.085,-0.0271,25.37,3.56,0.075,1
1772317255.1332254,alf_v_0,49,0.1116,0.0266,25.66,3.57,0.075,1
1772317255.1697206,alf_v_0,50,0.0842,-0.0274,32.83,3.39,0.075,1
1772317255.2072272,alf_v_0,51,0.1112,0.027,33.84,3.35,0.075,1
1772317255.2393045,alf_v_0,52,0.0838,-0.0274,28.22,3.58,0.075,1
1772317255.2730584,alf_v_0,53,0.1106,0.0268,30.06,3.44,0.075,1
1772317255.302213,alf_v_0,54,0.0834,-0.0272,25.2,3.69,0.075,1
1772317255.336241,alf_v_0,55,0.1097,0.0263,30.31,3.47,0.075,1
1772317255.3748848,alf_v_0,56,0.0831,-0.0267,33.1,5.06,0.075,1
1772317255.4078498,alf_v_0,57,0.1086,0.0255,29.2,3.37,0.075,1
1772317255.4381144,alf_v_0,58,0.0829,-0.0257,26.11,3.88,0.075,1
1772317255.4693701,alf_v_0,59,0.1077,0.0248,27.57,3.4,0.075,1
1772317255.4990356,alf_v_0,60,0.0825,-0.0252,25.86,3.46,0.075,1
1772317255.528664,alf_v_0,61,0.1066,0.0241,26.05,3.3,0.075,1
1772317255.5579734,alf_v_0,62,0.082,-0.0246,25.66,3.37,0.075,1
1772317255.5880542,alf_v_0,63,0.1057,0.0237,25.59,4.23,0.075,1
1772317255.616913,alf_v_0,64,0.0817,-0.024,24.97,3.65,0.075,1
1772317255.6491737,alf_v_0,65,0.105,0.0233,28.59,3.42,0.075,1
1772317255.6795542,alf_v_0,66,0.0813,-0.0237,26.79,3.33,0.075,1
1772317255.7191677,alf_v_0,67,0.1044,0.0231,35.63,3.7,0.075,1
1772317255.7538533,alf_v_0,68,0.0809,-0.0235,31.01,3.36,0.075,1
1772317255.7836874,alf_v_0,69,0.1038,0.0229,25.94,3.63,0.075,1
1772317255.823148,alf_v_0,70,0.0806,-0.0232,35.82,3.37,0.075,1
1772317255.8603482,alf_v_0,71,0.1035,0.0228,33.49,3.4,0.075,1
1772317255.90314,alf_v_0,72,0.0805,-0.023,38.61,3.89,0.075,1
1772317255.9383526,alf_v_0,73,0.1031,0.0227,31.41,3.53,0.075,1
1772317255.9745312,alf_v_0,74,0.0803,-0.0229,32.54,3.38,0.075,1
1772317256.012459,alf_v_0,75,0.103,0.0227,34.31,3.35,0.075,1
1772317256.0476446,alf_v_0,76,0.0802,-0.0228,31.36,3.55,0.075,1
1772317256.087357,alf_v_0,77,0.1027,0.0225,35.74,3.71,0.075,1
1772317256.1171181,alf_v_0,78,0.0802,-0.0225,25.78,3.71,0.075,1
1772317256.14629,alf_v_0,79,0.1026,0.0223,25.63,3.28,0.075,1
1772317256.1767836,alf_v_0,80,0.0804,-0.0222,26.11,4.06,0.075,1
1772317256.2156067,alf_v_0,81,0.1024,0.022,34.43,3.78,0.075,1
1772317256.2572272,alf_v_0,82,0.0804,-0.022,37.69,3.41,0.075,1
1772317256.2933989,alf_v_0,83,0.1024,0.022,32.51,3.37,0.075,1
1772317256.3235288,alf_v_0,84,0.0806,-0.0218,26.54,3.35,0.075,1
