timestamp,task_id,step,drift_score,drift_velocity,vlm_forward_ms,acc_overhead_ms,threshold,intervention_active
1772310469.5001066,2619,0,0.0144,0.0144,631.65,610.72,0.075,0
1772310469.545734,2619,1,0.0093,-0.0051,20.63,24.62,0.075,0
1772310469.5897012,2619,2,0.0026,-0.0067,20.09,23.6,0.075,0
1772310469.63352,2619,3,0.0047,0.0021,19.85,23.72,0.075,0
1772310469.6762946,2619,4,0.0039,-0.0008,20.86,21.67,0.075,0
1772310469.718937,2619,5,0.0022,-0.0018,20.0,22.37,0.075,0
1772310469.761435,2619,6,0.0013,-0.0009,19.93,22.31,0.075,0
1772310469.8045685,2619,7,0.0002,-0.0011,21.08,21.75,0.075,0
1772310469.8482428,2619,8,0.0091,0.0089,21.8,21.61,0.075,0
1772310469.8910348,2619,9,0.0097,0.0006,21.39,21.12,0.075,0
1772310469.9338186,2619,10,0.0115,0.0018,20.87,21.65,0.075,0
1772310469.9765258,2619,11,0.006,-0.0055,20.63,21.8,0.075,0
1772310470.019182,2619,12,0.0066,0.0006,20.84,21.58,0.075,0
1772310470.0619192,2619,13,0.0023,-0.0044,20.99,21.5,0.075,0
1772310470.104695,2619,14,0.0002,-0.002,20.8,21.7,0.075,0
1772310470.1474824,2619,15,0.0045,0.0043,20.77,21.76,0.075,0
1772310470.1914988,2619,16,0.0058,0.0013,20.74,23.04,0.075,0
1772310470.2343712,2619,17,0.0153,0.0095,21.31,21.3,0.075,0
1772310470.2771904,2619,18,0.0138,-0.0015,20.91,21.63,0.075,0
1772310470.321407,2619,19,0.0137,-0.0,20.78,23.19,0.075,0
1772310471.7003696,456,0,0.0199,0.0199,676.99,669.96,0.075,0
1772310471.7481165,456,1,0.0188,-0.001,20.9,26.48,0.075,0
1772310471.7934582,456,2,0.0178,-0.0011,20.23,24.87,0.075,0
1772310471.8395863,456,3,0.0272,0.0094,20.32,25.58,0.075,0
1772310471.8837824,456,4,0.0145,-0.0126,19.86,24.11,0.075,0
1772310471.9279819,456,5,0.0148,0.0003,19.54,24.43,0.075,0
1772310471.972324,456,6,0.0272,0.0124,19.61,24.49,0.075,0
1772310472.0173986,456,7,0.0163,-0.0109,19.49,25.37,0.075,0
1772310472.0615857,456,8,0.0015,-0.0149,19.75,24.23,0.075,0
1772310472.1057384,456,9,0.0111,0.0097,19.3,24.63,0.075,0
1772310472.1498818,456,10,0.0121,0.001,19.27,24.66,0.075,0
1772310472.1939976,456,11,0.0103,-0.0019,19.49,24.42,0.075,0
1772310472.238099,456,12,0.0338,0.0235,19.49,24.41,0.075,0
1772310472.2823784,456,13,0.026,-0.0077,19.72,24.33,0.075,0
1772310472.3283129,456,14,0.0063,-0.0198,20.38,25.31,0.075,0
1772310472.3724868,456,15,0.0015,-0.0048,19.8,24.15,0.075,0
1772310472.4169075,456,16,0.0295,0.0281,19.91,24.27,0.075,0
1772310472.461283,456,17,0.0311,0.0015,19.81,24.34,0.075,0
1772310472.5056667,456,18,0.0333,0.0023,19.82,24.33,0.075,0
