=== ACC HANDOFF LOG: campaign_20260301_0032 | Model: microsoft/Phi-4-multimodal-instruct ===
[HANDOFF] 2619 | Token Index: 5 | Drift: 0.2401 | Teacher: Llama-3.2-11B
[HANDOFF] 2619 | Token Index: 6 | Drift: 0.2413 | Teacher: Llama-3.2-11B
[HANDOFF] 2619 | Token Index: 7 | Drift: 0.2412 | Teacher: Llama-3.2-11B
[HANDOFF] 2619 | Token Index: 8 | Drift: 0.2411 | Teacher: Llama-3.2-11B
[HANDOFF] 2619 | Token Index: 9 | Drift: 0.2402 | Teacher: Llama-3.2-11B
[HANDOFF] 2619 | Token Index: 10 | Drift: 0.2396 | Teacher: Llama-3.2-11B
[HANDOFF] 2619 | Token Index: 11 | Drift: 0.2390 | Teacher: Llama-3.2-11B
[HANDOFF] 2619 | Token Index: 12 | Drift: 0.2392 | Teacher: Llama-3.2-11B
[HANDOFF] 2619 | Token Index: 13 | Drift: 0.2412 | Teacher: Llama-3.2-11B
[HANDOFF] 2619 | Token Index: 14 | Drift: 0.2407 | Teacher: Llama-3.2-11B
[HANDOFF] 2619 | Token Index: 15 | Drift: 0.2407 | Teacher: Llama-3.2-11B
[HANDOFF] 2619 | Token Index: 16 | Drift: 0.2392 | Teacher: Llama-3.2-11B
[HANDOFF] 2619 | Token Index: 17 | Drift: 0.2396 | Teacher: Llama-3.2-11B
[HANDOFF] 2619 | Token Index: 18 | Drift: 0.2400 | Teacher: Llama-3.2-11B
[HANDOFF] 2619 | Token Index: 19 | Drift: 0.2413 | Teacher: Llama-3.2-11B
[HANDOFF] 2619 | Token Index: 20 | Drift: 0.2413 | Teacher: Llama-3.2-11B
[HANDOFF] 2619 | Token Index: 21 | Drift: 0.2400 | Teacher: Llama-3.2-11B
[HANDOFF] 2619 | Token Index: 22 | Drift: 0.2401 | Teacher: Llama-3.2-11B
[HANDOFF] 2619 | Token Index: 23 | Drift: 0.2392 | Teacher: Llama-3.2-11B
[HANDOFF] 2619 | Token Index: 24 | Drift: 0.2391 | Teacher: Llama-3.2-11B
[HANDOFF] 2619 | Token Index: 25 | Drift: 0.2412 | Teacher: Llama-3.2-11B
[HANDOFF] 2619 | Token Index: 26 | Drift: 0.2380 | Teacher: Llama-3.2-11B
[HANDOFF] 2619 | Token Index: 27 | Drift: 0.2388 | Teacher: Llama-3.2-11B
[HANDOFF] 2619 | Token Index: 28 | Drift: 0.2389 | Teacher: Llama-3.2-11B
[HANDOFF] 2619 | Token Index: 29 | Drift: 0.2403 | Teacher: Llama-3.2-11B
[HANDOFF] 2619 | Token Index: 30 | Drift: 0.2396 | Teacher: Llama-3.2-11B
[HANDOFF] 2619 | Token Index: 31 | Drift: 0.2390 | Teacher: Llama-3.2-11B
[HANDOFF] 2619 | Token Index: 32 | Drift: 0.2381 | Teacher: Llama-3.2-11B
[HANDOFF] 2619 | Token Index: 33 | Drift: 0.2390 | Teacher: Llama-3.2-11B
[HANDOFF] 2619 | Token Index: 34 | Drift: 0.2406 | Teacher: Llama-3.2-11B
[HANDOFF] 2619 | Token Index: 35 | Drift: 0.2394 | Teacher: Llama-3.2-11B
