=== ACC HANDOFF LOG: campaign_20260302_2018 | Model: microsoft/Phi-4-multimodal-instruct ===
[HANDOFF] 2874 | Token Index: 2 | Drift: 0.0910 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_79 | Token Index: 8 | Drift: 0.0903 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_79 | Token Index: 14 | Drift: 0.0907 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_79 | Token Index: 17 | Drift: 0.1006 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_79 | Token Index: 18 | Drift: 0.1027 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_97 | Token Index: 0 | Drift: 0.0759 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_97 | Token Index: 8 | Drift: 0.0970 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_97 | Token Index: 10 | Drift: 0.0754 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_97 | Token Index: 14 | Drift: 0.0967 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_97 | Token Index: 17 | Drift: 0.1049 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_97 | Token Index: 18 | Drift: 0.1072 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_111 | Token Index: 0 | Drift: 0.0755 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_111 | Token Index: 8 | Drift: 0.0918 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_111 | Token Index: 14 | Drift: 0.0921 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_111 | Token Index: 17 | Drift: 0.1016 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_111 | Token Index: 18 | Drift: 0.1039 | Teacher: Llama-3.2-11B
[HANDOFF] 2440 | Token Index: 1 | Drift: 0.0814 | Teacher: Llama-3.2-11B
[HANDOFF] 2440 | Token Index: 2 | Drift: 0.0984 | Teacher: Llama-3.2-11B
[HANDOFF] 765 | Token Index: 0 | Drift: 0.0891 | Teacher: Llama-3.2-11B
[HANDOFF] 765 | Token Index: 24 | Drift: 0.0787 | Teacher: Llama-3.2-11B
[HANDOFF] 765 | Token Index: 25 | Drift: 0.0917 | Teacher: Llama-3.2-11B
[HANDOFF] 991 | Token Index: 18 | Drift: 0.0865 | Teacher: Llama-3.2-11B
[HANDOFF] 991 | Token Index: 19 | Drift: 0.0976 | Teacher: Llama-3.2-11B
[HANDOFF] 827 | Token Index: 1 | Drift: 0.0830 | Teacher: Llama-3.2-11B
[HANDOFF] 827 | Token Index: 2 | Drift: 0.0904 | Teacher: Llama-3.2-11B
[HANDOFF] 1576 | Token Index: 2 | Drift: 0.0975 | Teacher: Llama-3.2-11B
[HANDOFF] 379 | Token Index: 1 | Drift: 0.0756 | Teacher: Llama-3.2-11B
[HANDOFF] 379 | Token Index: 2 | Drift: 0.0955 | Teacher: Llama-3.2-11B
[HANDOFF] 2069 | Token Index: 1 | Drift: 0.0785 | Teacher: Llama-3.2-11B
[HANDOFF] 2069 | Token Index: 2 | Drift: 0.0907 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_60 | Token Index: 6 | Drift: 0.0797 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_60 | Token Index: 12 | Drift: 0.1051 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_60 | Token Index: 13 | Drift: 0.1097 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_17 | Token Index: 0 | Drift: 0.0812 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_17 | Token Index: 5 | Drift: 0.0818 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_17 | Token Index: 8 | Drift: 0.1014 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_17 | Token Index: 13 | Drift: 0.1068 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_17 | Token Index: 15 | Drift: 0.0774 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_17 | Token Index: 16 | Drift: 0.1085 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_17 | Token Index: 17 | Drift: 0.1086 | Teacher: Llama-3.2-11B
[HANDOFF] 260 | Token Index: 1 | Drift: 0.0861 | Teacher: Llama-3.2-11B
[HANDOFF] 260 | Token Index: 2 | Drift: 0.1031 | Teacher: Llama-3.2-11B
[HANDOFF] 2885 | Token Index: 1 | Drift: 0.0849 | Teacher: Llama-3.2-11B
[HANDOFF] 2885 | Token Index: 2 | Drift: 0.0953 | Teacher: Llama-3.2-11B
[HANDOFF] 585 | Token Index: 1 | Drift: 0.0827 | Teacher: Llama-3.2-11B
[HANDOFF] 585 | Token Index: 2 | Drift: 0.0975 | Teacher: Llama-3.2-11B
[HANDOFF] 282 | Token Index: 1 | Drift: 0.0901 | Teacher: Llama-3.2-11B
[HANDOFF] 282 | Token Index: 2 | Drift: 0.0945 | Teacher: Llama-3.2-11B
[HANDOFF] 282 | Token Index: 3 | Drift: 0.1105 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_80 | Token Index: 6 | Drift: 0.0872 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_80 | Token Index: 12 | Drift: 0.1067 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_80 | Token Index: 13 | Drift: 0.1107 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_134 | Token Index: 0 | Drift: 0.0789 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_134 | Token Index: 6 | Drift: 0.0892 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_134 | Token Index: 12 | Drift: 0.1135 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_134 | Token Index: 13 | Drift: 0.1161 | Teacher: Llama-3.2-11B
[HANDOFF] 1563 | Token Index: 1 | Drift: 0.0937 | Teacher: Llama-3.2-11B
[HANDOFF] 1563 | Token Index: 2 | Drift: 0.0961 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_10 | Token Index: 0 | Drift: 0.0800 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_10 | Token Index: 6 | Drift: 0.0921 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_10 | Token Index: 12 | Drift: 0.1159 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_10 | Token Index: 13 | Drift: 0.1180 | Teacher: Llama-3.2-11B
[HANDOFF] 2574 | Token Index: 1 | Drift: 0.0812 | Teacher: Llama-3.2-11B
[HANDOFF] 2574 | Token Index: 2 | Drift: 0.0938 | Teacher: Llama-3.2-11B
[HANDOFF] 380 | Token Index: 0 | Drift: 0.0802 | Teacher: Llama-3.2-11B
[HANDOFF] 380 | Token Index: 1 | Drift: 0.0916 | Teacher: Llama-3.2-11B
[HANDOFF] 380 | Token Index: 2 | Drift: 0.0839 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_22 | Token Index: 6 | Drift: 0.0911 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_22 | Token Index: 12 | Drift: 0.1034 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_22 | Token Index: 13 | Drift: 0.1072 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_161 | Token Index: 0 | Drift: 0.0779 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_161 | Token Index: 4 | Drift: 0.0781 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_161 | Token Index: 5 | Drift: 0.0870 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_161 | Token Index: 8 | Drift: 0.1085 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_161 | Token Index: 13 | Drift: 0.1127 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_161 | Token Index: 15 | Drift: 0.0816 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_161 | Token Index: 16 | Drift: 0.1102 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_161 | Token Index: 17 | Drift: 0.1090 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_70 | Token Index: 6 | Drift: 0.0950 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_70 | Token Index: 12 | Drift: 0.1127 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_70 | Token Index: 13 | Drift: 0.1151 | Teacher: Llama-3.2-11B
[HANDOFF] 2561 | Token Index: 1 | Drift: 0.0891 | Teacher: Llama-3.2-11B
[HANDOFF] 2561 | Token Index: 2 | Drift: 0.0970 | Teacher: Llama-3.2-11B
[HANDOFF] 104 | Token Index: 0 | Drift: 0.0782 | Teacher: Llama-3.2-11B
[HANDOFF] 104 | Token Index: 1 | Drift: 0.0953 | Teacher: Llama-3.2-11B
[HANDOFF] 104 | Token Index: 3 | Drift: 0.0956 | Teacher: Llama-3.2-11B
[HANDOFF] 104 | Token Index: 4 | Drift: 0.1170 | Teacher: Llama-3.2-11B
[HANDOFF] 2266 | Token Index: 1 | Drift: 0.0885 | Teacher: Llama-3.2-11B
[HANDOFF] 2266 | Token Index: 2 | Drift: 0.1052 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_40 | Token Index: 6 | Drift: 0.0978 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_40 | Token Index: 9 | Drift: 0.0770 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_40 | Token Index: 11 | Drift: 0.0763 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_40 | Token Index: 12 | Drift: 0.1102 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_40 | Token Index: 13 | Drift: 0.1127 | Teacher: Llama-3.2-11B
[HANDOFF] 2413 | Token Index: 1 | Drift: 0.0900 | Teacher: Llama-3.2-11B
[HANDOFF] 2413 | Token Index: 2 | Drift: 0.0961 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_4 | Token Index: 0 | Drift: 0.0804 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_4 | Token Index: 6 | Drift: 0.0975 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_4 | Token Index: 9 | Drift: 0.0770 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_4 | Token Index: 12 | Drift: 0.1164 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_4 | Token Index: 13 | Drift: 0.1171 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_59 | Token Index: 0 | Drift: 0.0835 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_59 | Token Index: 1 | Drift: 0.0799 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_59 | Token Index: 2 | Drift: 0.0786 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_59 | Token Index: 3 | Drift: 0.0815 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_59 | Token Index: 4 | Drift: 0.0843 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_59 | Token Index: 5 | Drift: 0.0937 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_59 | Token Index: 7 | Drift: 0.0796 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_59 | Token Index: 8 | Drift: 0.1123 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_59 | Token Index: 10 | Drift: 0.0781 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_59 | Token Index: 13 | Drift: 0.1170 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_59 | Token Index: 15 | Drift: 0.0854 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_59 | Token Index: 16 | Drift: 0.1146 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_59 | Token Index: 17 | Drift: 0.1133 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_1 | Token Index: 0 | Drift: 0.0835 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_1 | Token Index: 1 | Drift: 0.0798 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_1 | Token Index: 2 | Drift: 0.0787 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_1 | Token Index: 3 | Drift: 0.0809 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_1 | Token Index: 4 | Drift: 0.0847 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_1 | Token Index: 5 | Drift: 0.0941 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_1 | Token Index: 7 | Drift: 0.0805 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_1 | Token Index: 8 | Drift: 0.1125 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_1 | Token Index: 10 | Drift: 0.0779 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_1 | Token Index: 13 | Drift: 0.1171 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_1 | Token Index: 15 | Drift: 0.0853 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_1 | Token Index: 16 | Drift: 0.1136 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_1 | Token Index: 17 | Drift: 0.1128 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_66 | Token Index: 0 | Drift: 0.0805 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_66 | Token Index: 6 | Drift: 0.0995 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_66 | Token Index: 9 | Drift: 0.0798 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_66 | Token Index: 12 | Drift: 0.1159 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_66 | Token Index: 13 | Drift: 0.1180 | Teacher: Llama-3.2-11B
[HANDOFF] 759 | Token Index: 0 | Drift: 0.0770 | Teacher: Llama-3.2-11B
[HANDOFF] 759 | Token Index: 4 | Drift: 0.0923 | Teacher: Llama-3.2-11B
[HANDOFF] 229 | Token Index: 3 | Drift: 0.0892 | Teacher: Llama-3.2-11B
[HANDOFF] 229 | Token Index: 4 | Drift: 0.0904 | Teacher: Llama-3.2-11B
[HANDOFF] 229 | Token Index: 5 | Drift: 0.0848 | Teacher: Llama-3.2-11B
[HANDOFF] alf_v_28 | Token Index: 6 | Drift: 0.0879 | Teacher: Llama-3.2-11B
